name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date,email,facebook,fb_name
Motor Centrum Berlin,motor repair shop,Used auto parts store,Berlin,Germany,"Kurfürstendamm 195/3.OG, 10707 Berlin, Germany",+49 30 959993339,4.8,495,No,2026-03-02,zapytania@motorcentrum.pl,https://www.facebook.com/motorcentrum,Motor Centrum 
Lavadero de Coches Bubble Car Wash Serrano Lavado Detailing Parking Serranopark1,car wash,Car wash,Madrid,Spain,"Calle serrano 98, parking SerranoPark 1, sotano -1 Entradas por calles: Juan Bravo 1 o, C/ de los Hermanos Bécquer, 3, 28006 Madrid, Spain",+34 682 51 40 06,5.0,467,No,2026-03-02,atiliominervine@hotmail.com,https://www.facebook.com/lavaderode,Tilo Minervine 
Service GSM,mobile phone repair,Mobile phone repair shop,Bucharest,Romania,"Strada Dristorului 97-119, Bloc 63, 070000 București, Romania",+40 735 675 357,4.8,460,No,2026-03-02,costygsm@gmail.com,https://www.facebook.com/servicegsm,Service GSM 
Bastille Point com,mobile phone repair,Mobile phone repair shop,Paris,France,"65 Rue de Charenton, 75012 Paris, France",+33 1 83 94 31 97,4.8,456,No,2026-03-02,bastillepointcom@gmail.com,https://www.facebook.com/bastillepoint,Bastille Point Com 
Maison RITUAL piercing,tattoo shop,Body piercing shop,Brussels,Belgium,"21 galerie du centre, 1000, Bruxelles, Belgium",+32 2 218 14 40,4.4,466,No,2026-03-02,ohlalamaisonbazaar@gmail.com,https://www.facebook.com/maison.ritual,Maison Ritual 
Environ Pest Control London,pest control,Pest control service,London,UK,"Unit 12A, 39 Parsons Green Ln, London SW6 4HH, United Kingdom",+44 20 3875 8225,4.6,443,No,2026-03-02,environpestservices@gmail.com,https://www.facebook.com/environpest,Environ Pest Services 
Lavandaria Self Service Sem Molas,laundry service,Laundry,Lisbon,Portugal,"R. de Santa Marta 38A, 1050-200 Lisboa, Portugal",+351 917 622 584,4.5,433,No,2026-03-02,carteti@icloud.com,https://www.facebook.com/lavandaria.self,Lavandaria self service 
Smartphone Lounge - the walk in repair center,mobile phone repair,Mobile phone repair shop,Munich,Germany,"Landsberger Str. 51, 80339 München, Germany",+49 163 4553132,4.8,362,No,2026-03-02,info@handywartung.de,https://www.facebook.com/smartphonelounge,Smartphone Lounge - the walk in repair center 
"Llarusa - russian manicure, BIAB, henna brows, threading, facials, peelings, body sculpting massage, Barcelona",nail salon,Nail salon,Barcelona,Spain,"Plaça de Vicenç Martorell, 2, Ciutat Vella, 08001 Barcelona, Spain",+34 644 40 65 56,4.9,353,No,2026-03-02,salon.llarusa@gmail.com,https://www.facebook.com/llarusa,Llarusa 
Indonesia Culinary Restaurant,catering,Caterer,Budapest,Hungary,"Budapest, Ráday u. 9, 1092 Hungary",+36 70 345 2492,4.9,332,No,2026-03-02,felix.hery@gmail.com,https://www.facebook.com/indonesiaculinary,Indonesian Culinary 
Lavadero de Coches Bubble Car Wash Parking Quevedo Lavado Detailing,car wash,Car wash,Madrid,Spain,"Parking Indigo Quevedo, Calle de Rodríguez San Pedro, 8, Chamberí, 28015 Madrid, Spain",+34 650 33 84 77,4.6,339,No,2026-03-02,atiliominervine@hotmail.com,https://www.facebook.com/lavaderode,Tilo Minervine 
Lavadero de Coches Bubble Car Wash Serrano Lavado Detailing Parking Serranopark2,car wash,Car wash,Madrid,Spain,"Entrada de vehiculos, Calle de Serrano, 44, C. de Hermosilla, 7, sotano-1, 28001 Madrid, Spain",+34 624 69 97 44,4.8,318,No,2026-03-02,atiliominervine@hotmail.com,https://www.facebook.com/lavaderode,Tilo Minervine 
Zoldyck Family GSM,mobile phone repair,Mobile phone repair shop,Budapest,Hungary,"Budapest, Múzeum krt. 41, 1053 Hungary",+36 20 523 6544,4.9,258,No,2026-03-02,zoldyck.family@mail.com,https://www.facebook.com/zoldyckfamilygsm,Zoldyck Family GSM 
"Key cutting Shoemaker, Stamps",key cutting,Key duplication service,Warsaw,Poland,"Metro Świętokrzyska M2 lokal 1014, górny łacznik, 00-108 Warszawa, Poland",+48 697 735 058,4.6,271,No,2026-03-02,inkanyeziexpress@gmail.com,https://www.facebook.com/keycutting,BULL OUT 
Quality Cleaners,laundry service,Laundry service,Amsterdam,Netherlands,"Bilderdijkstraat 190, 1053 LE Amsterdam, Netherlands",+31 20 789 3991,4.9,254,No,2026-03-02,marybradley422@gmail.com.com,https://www.facebook.com/qualitycleaners,Quality Cleaners 
Top Cleaner Barcelona,carpet cleaning,,Barcelona,Spain,,+34 640 15 76 61,4.6,248,No,2026-03-02,info@topcleaner.pl,https://www.facebook.com/topcleaner,Firma Sprzątająca TopCleaner Łódź 
Mobile Shop 4 | Express Reparatur 30min | Europe Internet SIM-Cards/eSIM | Mobile accessories| international Adapter,mobile phone repair,Phone repair service,Vienna,Austria,"Schwarzenbergstraße 4, 1010 Wien, Austria",+43 664 99441144,4.9,228,No,2026-03-02,kurbanmiya1988ka969@gmail.com,https://www.facebook.com/mobileshop4,Mobile Shop 
Lines Ink Tattoo,tattoo shop,Tattoo shop,Zurich,Switzerland,"Grünhaldenstrasse 5, 8050 Zürich, Switzerland",,5.0,218,No,2026-03-02,linesinktattoo@gmail.com,https://www.facebook.com/linesinktattoo,Lines Ink Tattoo 
City Pet Grooming,pet grooming,Pet groomer,Bucharest,Romania,"Intrarea Patinoarului 28, 030356 București, Romania",+40 765 113 333,4.9,214,No,2026-03-02,citypetgrooming@outlook.com,https://www.facebook.com/citypetgrooming,City Pet Grooming and supplies 
Lavandería | Wash & Lock,laundry service,Laundry service,Madrid,Spain,"C. de San Marcos, 15, Centro, 28004 Madrid, Spain",+34 910 64 51 14,4.4,213,No,2026-03-02,burbujas@burbujas.online,https://www.facebook.com/lavanderia,Burbujas Verified account
AUTO BROS Valencia,auto body shop,Auto body shop,Barcelona,Spain,"Carrer de València, 433, Eixample, 08013 Barcelona, Spain",+34 931 40 11 04,4.6,198,No,2026-03-02,autobroszimbabwe@gmail.com,https://www.facebook.com/autobros,Auto Bros 
Le Bottier Parisien Cordonnerie Progrès Reproduction de clés,shoe repair,Shoe repair shop,Paris,France,,,4.9,185,No,2026-03-02,rubenshoes1965@gmail.com,https://www.facebook.com/lebottier,Le Bottier 
KFZ Technik 22,motor repair shop,Car repair and maintenance service,Vienna,Austria,"Eipeldauer Str. 43, 1220 Wien, Austria",+43 1 2561822,4.4,188,No,2026-03-02,biuro@kfztechnik.pl,https://www.facebook.com/kfztechnik,KFZ-Technik spółka z o.o. 
Que Bonito Pet!,pet grooming,Pet groomer,Brussels,Belgium,"Rue Le Corrège 45, 1000 Bruxelles, Belgium",+32 486 39 75 83,4.7,175,No,2026-03-02,m.cueto@live.com,https://www.facebook.com/quebonito,Qué Bonito 
Mobile Expert,mobile phone repair,Mobile phone repair shop,Dublin,Ireland,"78a Talbot St, Mountjoy, Dublin, D01 XE18, Ireland",+353 1 445 6318,4.6,135,No,2026-03-02,mobileexpert77@gmail.com,https://www.facebook.com/mobileexpert,Mobile Expert 
Empire Barbershop💈,barber shop,Barber shop,Brussels,Belgium,"Rue de l'Hôpital 1, 1000 Bruxelles, Belgium",+32 465 82 10 02,4.9,125,No,2026-03-02,bigandtall538@gmail.com,https://www.facebook.com/empirebarbershop,Empire  Barbershop 
Cleopatra INK Tattoo & Piercing Prague Studio,tattoo shop,Tattoo and piercing shop,Prague,Czech Republic,"Jungmannova 25, Jungmannova 110 00/32/25, Nové Město, 110 00 Praha 1, Czechia",+420 776 449 365,4.4,136,No,2026-03-02,contact@cleopatraink.com,https://www.facebook.com/cleopatraink,Cleopatra Ink 
Bio Lavanderia Prati,dry cleaner,Dry cleaner,Rome,Italy,"Via Giovanni Bettolo, 31-33, 00195 Roma RM, Italy",+39 06 639 0174,4.8,100,No,2026-03-02,biolavanderia@gmail.com,https://www.facebook.com/biolavanderia,Biolavandería 
REFORMAS Handyman Project SL (Manitas Efectivas),handyman,Remodeler,Madrid,Spain,"C. de Nicolás Salmerón, 38, Cdad. Lineal, 28017 Madrid, Spain",+34 608 52 58 47,5.0,93,No,2026-03-02,info@reformashandyman.net,https://www.facebook.com/reformashandyman,Reformas Handyman 
3Dadd - Impressão 3D Lisboa,3d printing service,,Lisbon,Portugal,,,5.0,69,No,2026-03-02,geral@3dadd.pt,https://www.facebook.com/3dadd,3Dadd - Impressão 3D 
Edilpavimentazioneroma,paving contractor,Wood floor installation service,Rome,Italy,"Via Terni, 37, 00182 Roma RM, Italy",+39 06 7030 5396,4.4,76,No,2026-03-02,edilpavimentazionesrls@gmail.com,https://www.facebook.com/edilpavimentazioneroma,Edilpavimentazioneroma 
Bg Lavagem Auto,car wash,Car wash,Lisbon,Portugal,"R. Francisco Sanches nr10 A /C, 1170-140 Lisboa, Portugal",+351 938 628 257,4.8,68,No,2026-03-02,bglavagemauto78@gmail.com,https://www.facebook.com/bglavagemauto,BG Lavagem Auto 
Pullman Motors,motor repair shop,Mechanic,London,UK,"Railway Arch, 115 Randall Rd, London SE11 5JR, United Kingdom",+44 20 7735 5072,4.8,68,No,2026-03-02,contact@pullmanmotorsengineering.co.uk,https://www.facebook.com/pullmanmotors,Pullman Motors 
Coko's Catering,catering,Caterer,Madrid,Spain,"P.º de La Habana, 103, Chamartín, 28036 Madrid, Spain",+34 911 64 02 58,4.7,63,No,2026-03-02,info@cokoscatering.com,https://www.facebook.com/cokoscatering,Cokos Catering 
Peluquería Canina Madrid - Garden Pets,pet grooming,Pet groomer,Madrid,Spain,"C. de Ferraz, 54, Moncloa - Aravaca, 28008 Madrid, Spain",+34 611 73 02 14,4.9,60,No,2026-03-02,madriddogwash@gmail.com,https://www.facebook.com/peluqueriacaninamadrid,Madrid Dog Wash Peluquería canina móvil 
Cleaning Service OT,cleaning service,Cleaners,Madrid,Spain,"C. del Mesón de Paredes, 44, Centro, 28012 Madrid, Spain",+34 643 66 28 65,4.9,60,No,2026-03-02,miriam@balabustabrooklyn.com,https://www.facebook.com/cleaningservice,Balabusta Brooklyn Agency 
Officina Meccanica Casaldi Pierluigi,motor repair shop,Scooter repair shop,Rome,Italy,"Via Belisario, 27, 00187 Roma RM, Italy",+39 06 4201 0802,4.9,56,No,2026-03-02,malugi.srls@virgilio.it,https://www.facebook.com/officinameccanica,Auto&Fuoristrada 
Atelier Reparații Încălțăminte,shoe repair,Boot repair shop,Bucharest,Romania,"Strada George Vraca 7, 030167 București, Romania",+40 768 298 084,4.9,55,No,2026-03-02,stratulat1908.cs@gmail.com,https://www.facebook.com/atelierreparatiiincaltaminte,Atelier reparatii incaltaminte - Papucul vesel 
The Paw Society,pet grooming,Pet groomer,Dublin,Ireland,"77 Camden Pl, Saint Kevin's, Dublin 2, D02 XE80, Ireland",+353 86 014 5202,4.7,57,No,2026-03-02,info@thepawsociety.ie,https://www.facebook.com/thepawsociety,the_paw_society 
Copiere Chei,key cutting,Key duplication service,Bucharest,Romania,"Strada V. V. Stanciu 9, 040433 București, Romania",+40 722 341 317,4.7,57,No,2026-03-02,hendric_csaba@yahoo.com,https://www.facebook.com/copiere.chei,CHEI La MINUT 
Szélvédő javítás Budapest,glass repair,Auto glass shop,Budapest,Hungary,"Budapest, Szondi u. 37/c, 1064 Hungary",+36 30 355 1000,4.9,52,No,2026-03-02,info@szelvedojavitas.hu,https://www.facebook.com/szelvedojavitas,Szélvédő javítás  Budapest +36303551000 
Studio Photo Gallery,photography studio,Photography studio,London,UK,"100 Clements Rd, London SE16 4DG, United Kingdom",+880 1342-492958,4.9,51,No,2026-03-02,info@selfboxstudio.be,https://www.facebook.com/studiophoto,Self Box Studio 
P2T INFORMATICA,computer repair,Computer repair service,Rome,Italy,"Via Sesto Fiorentino, 18, 00146 Roma RM, Italy",+39 06 513 3641,4.9,51,No,2026-03-02,info@p2tinformatica.it,https://www.facebook.com/p2tinformatica,P2T informatica 
National Guild of Roofers Berlin,roofing contractor,Roofing contractor,Berlin,Germany,"Nicolaistraße 5, 12247 Berlin, Germany",+49 30 7671580,4.4,55,No,2026-03-02,guildinfo@nationalguild.org,https://www.facebook.com/nationalguild,National Guild for Community Arts Education 
Cerrajería Joma - Cerrajero en Madrid,key cutting,Locksmith,Madrid,Spain,"C. de Ferraz, 61, Moncloa - Aravaca, 28008 Madrid, Spain",+34 915 44 20 13,4.8,50,No,2026-03-02,cerrajeriajoma@hotmail.com,https://www.facebook.com/cerrajeriajoma,Cerrajería Joma 
"Sklep Hydrauliczny Warszawa – kotły gazowe, podgrzewacze, instalacje grzewcze",plumber,Plumber,Warsaw,Poland,"Potażowa 45, 02-400 Warszawa, Poland",+48 508 106 134,4.8,47,No,2026-03-02,sklep@e-hydrauliczny.pl,https://www.facebook.com/sklephydrauliczny,e-hydrauliczny.pl 
Facility Service Hero Hikmat Kheiri Agha Inh.,cleaning service,Property maintenance,Munich,Germany,"Kazmairstraße 14, 80339 München, Germany",,4.8,46,No,2026-03-02,info@proper-facilitair.nl,https://www.facebook.com/facilityservice,Proper Cleaning 
McGauran Cleaning,gutter cleaning,Gutter cleaning service,Dublin,Ireland,"19 St Columba's Rd Upper, Drumcondra, Dublin 9, D09 YY84, Ireland",+353 85 209 3460,5.0,44,No,2026-03-02,mcgauranjames@gmail.com,https://www.facebook.com/mcgaurancleaning,McGauran cleaning 
The English Plumber,plumber,,Amsterdam,Netherlands,,+31 6 40045376,4.6,45,No,2026-03-02,filson64@gmail.com,https://www.facebook.com/theenglishplumber,LCD AB 
New York Cleaners,dry cleaner,Dry cleaner,Dublin,Ireland,"69 Middle Abbey St, North City, Dublin, D01 P5Y4, Ireland",+353 1 873 0929,4.3,43,No,2026-03-02,eric@newyork.co.uk,https://www.facebook.com/newyork,New York - NewYork.co.uk 
super carwash,car wash,Car wash,Brussels,Belgium,"Bd de Nieuport 10, 1000 Bruxelles, Belgium",+32 466 06 38 25,4.4,42,No,2026-03-02,mogaswimwear1998@gmail.com,https://www.facebook.com/supercarwash,Super Car Wash 
iFix GSM,mobile phone repair,Mobile phone repair shop,Budapest,Hungary,"Budapest, Hunyadi tér 10, 1067 Hungary",,4.8,38,No,2026-03-02,info@ifixgsm.com.au,https://www.facebook.com/ifixgsm,IFIX GSM 
La Toutounière,pet grooming,Pet groomer,Brussels,Belgium,"Rue des Paysagistes 7, 1160 Auderghem, Belgium",+32 474 31 07 35,4.8,37,No,2026-03-02,latoutouniere@hotmail.fr,https://www.facebook.com/latoutouniere,La Toutouniere 
Blue Dog Grooming Studio,pet grooming,Pet groomer,Copenhagen,Denmark,"Poppelstykket 18, 2450 København, Denmark",+45 50 14 49 31,4.8,36,No,2026-03-02,kontakt@bluedoggroomingstudio.dk,https://www.facebook.com/bluedoggroomingstudio,Blue Dog Grooming Studio 
Excellent Roofing,roofing contractor,Roofing contractor,Amsterdam,Netherlands,"Keizersgracht, 1017 EK Amsterdam, Netherlands",+31 20 204 4585,4.0,42,No,2026-03-02,service@excellentroofing.com,https://www.facebook.com/excellentroofing,Excellent Roofing 
Motoworld Auto Body Repair Centre,auto body shop,Auto body shop,Dublin,Ireland,"1/2, E.p. Mooney Business Centre, Long Mile Rd, Walkinstown, Dublin 12, Ireland",+353 1 450 4060,4.6,36,No,2026-03-02,motoworldautoltd@gmail.com,https://www.facebook.com/motoworldauto,MotoWorld Auto LTD 
Mister Minit Franchise,shoe repair,Boot repair shop,Budapest,Hungary,"Budapest, SPAR szupermarket üzletsor, Nyugati tér 1-2, 1066 Hungary",+36 20 416 8501,4.3,38,No,2026-03-02,info@minit.com.au,https://www.facebook.com/misterminit,Mister Minit 
Tintorería Urbanclean Prosperidad,carpet cleaning,Carpet cleaning service,Madrid,Spain,"C. del Corazón de María, 13, Chamartín, 28002 Madrid, Spain",+34 613 00 03 62,4.8,33,No,2026-03-02,info@urbanclean.es,https://www.facebook.com/tintoreriaurbanclean,UrbanClean 
Dekarz Warszawa Dach Uslugi Dekarskie,gutter cleaning,Roofing contractor,Warsaw,Poland,"Obywatelska 5, 02-406 Warszawa, Poland",+48 579 373 712,4.8,31,No,2026-03-02,antbud@onet.pl,https://www.facebook.com/dekarzwarszawa,Antbud 
The Food Shop,catering,Caterer,Dublin,Ireland,"113 Trees Rd Upper, Mount Merrion, Dublin, A94 HN12, Ireland",+353 1 278 7066,4.9,29,No,2026-03-02,info@foodshopdeli.co.uk,https://www.facebook.com/thefoodshop,The Food Shop 
Auto Wash,car wash,Car wash,Lisbon,Portugal,"Parque de Estacionamento, Rua Embaixador Teixeira de Sampaio, Empark Infante Santo nº 1 Piso -2, 1350-401 Lisboa, Portugal",+351 914 184 649,4.8,27,No,2026-03-02,andresp.autowash@gmail.com,https://www.facebook.com/autowash,Delivery AUTO WASH 
Tasty Catering,catering,Catering food and drink supplier,Bucharest,Romania,"Calea Șerban Vodă 260, 052034 București, Romania",+40 766 360 532,4.8,27,No,2026-03-02,info@tastycatering.com,https://www.facebook.com/tastycatering,Tasty Catering 
Démolition & Débarras Paris,demolition contractor,Demolition contractor,Paris,France,"Scm, 4 Rue de Sontay, 75016 Paris, France",+33 7 81 41 89 96,5.0,25,No,2026-03-02,demolitiondebarras@gmail.com,https://www.facebook.com/demolitiondebarras,Démolition & Débarras 
Nao Clean,window cleaning,,Brussels,Belgium,,+32 493 38 92 44,5.0,25,No,2026-03-02,laveneco.vn@gmail.com,https://www.facebook.com/naoclean,Naoclean - Máy tạo nước khử khuẩn Naoclean - Anolyte 
Mark 1 Upholstery,upholstery,Upholstery shop,Dublin,Ireland,"80b Annamoe Rd, Cabra, Dublin 7, Ireland",+353 1 868 1598,4.7,26,No,2026-03-02,mark1sales75@gmail.com,https://www.facebook.com/mark1upholstery,Mark 1 Upholstery 
Vision Studio,photography studio,Photography studio,Dublin,Ireland,"61 Adelaide Rd, Saint Kevin's, Dublin, D02 WV70, Ireland",+353 83 397 9571,4.8,25,No,2026-03-02,studiovisionpak@gmail.com,https://www.facebook.com/vision.studio,Studio vision 
Tappezzeria Silvera,upholstery,Upholstery shop,Milan,Italy,"Via Nicola Antonio Porpora, 154, 20131 Milano MI, Italy",+39 380 348 6241,4.5,26,No,2026-03-02,info@tappezzeriasilvera.com,https://www.facebook.com/tappezzeriasilvera,Tappezzeria Silvera 
UrbánCar Kft,auto body shop,Auto body shop,Budapest,Hungary,"Budapest, Nagysándor József u. 86, 1204 Hungary",+36 20 215 4128,4.8,21,No,2026-03-02,urbancarkft@gmail.com,https://www.facebook.com/urbancarkft,UrbánCar Kft 
Virtuos Print s.r.o.,printing service,Print shop,Prague,Czech Republic,"nám. Barikád 3, 130 00 Praha 3-Žižkov, Czechia",+420 778 089 554,5.0,19,No,2026-03-02,info@virtuos-print.cz,https://www.facebook.com/virtuos.print,Virtuos Print 
Green Eco Srl,pest control,Pest control service,Rome,Italy,"Via Francesco Caracciolo, 16, 00192 Roma RM, Italy",+39 329 188 5883,5.0,19,No,2026-03-02,info@greeneco.biz,https://www.facebook.com/greenecosrl,Greeneco 
Eco-Press,dry cleaner,Dry cleaner,Brussels,Belgium,"Bd d'Anvers 18, 1000 Bruxelles, Belgium",+32 2 374 83 86,4.7,20,No,2026-03-02,contact@eco.com,https://www.facebook.com/eco,Eco 
JSD Carpentry,carpenter,Carpenter,Dublin,Ireland,"Greenogue Business Park, unit 53 block 503, Rathcoole, Co. Dublin, Ireland",+353 87 632 8277,5.0,18,No,2026-03-02,jsdcarpentry@hotmail.com,https://www.facebook.com/jsdcarpentry,JSD Carpentry 
Oficina do Carpinteiro,carpenter,Carpenter,Lisbon,Portugal,"Rua Gualdim Pais 95 Lisboa Rua Herculano de Carvalho, 7A Cave. 2720-270 Amadora, R. Gualdim Pais 95, 1900-254 Lisboa, Portugal",+351 932 447 100,4.8,18,No,2026-03-02,oficinadocelular341@gmail.com,https://www.facebook.com/oficinado,Oficina Do Celular 
Pet Store Grooming,pet grooming,Pet groomer,Bucharest,Romania,"Bloc OD5, Str. Brașov 19, 061443 București, Romania",+40 727 220 055,5.0,17,No,2026-03-02,petspk.store@gmail.com,https://www.facebook.com/petstore,Pets.pk 
Zrobione! - Złota Rączka,handyman,Handyman/Handywoman/Handyperson,Warsaw,Poland,"Mikołajska 9, 02-455 Warszawa, Poland",+48 664 093 762,5.0,17,No,2026-03-02,bbmaja@gmail.com,https://www.facebook.com/zrobione,Zrobione 
Iggy Handyman,carpenter,Carpenter,Amsterdam,Netherlands,"Weterningschans 75, 1017 RX Amsterdam, Netherlands",+31 6 26359236,4.7,17,No,2026-03-02,contact@iggyhandyman.com,https://www.facebook.com/iggyhandyman,Iggy Handyman 
Computer Service Milano,computer repair,Computer repair service,Milan,Italy,"Via delle Leghe, 10, 20127 Milano MI, Italy",+39 338 979 7700,4.4,18,No,2026-03-02,vishantpawar@gmail.com,https://www.facebook.com/computerservice,Brother Computer Service 
MASI 3D di Massimiliano Lequio,3d printing service,,Rome,Italy,"Via Galla Placidia, 74, 00159 Roma RM, Italy",+39 324 562 2688,5.0,15,No,2026-03-02,infomasi3d@gmail.com,https://www.facebook.com/masi3d,masi3d_roma 
Clean Planet KG,cleaning service,House cleaning service,Vienna,Austria,"Siebenbrunnengasse 28, 1050 Wien, Austria",+43 660 9632035,5.0,15,No,2026-03-02,hello@cleanplanet.in,https://www.facebook.com/cleanplanet,Clean Planet 
Sudura Argon,welding,Corporate office,Bucharest,Romania,"Șoseaua Giurgiului 35, 052034 București, Romania",+40 723 317 444,4.1,18,No,2026-03-02,argonsud.office@yahoo.com,https://www.facebook.com/suduraargon,Sudura Profesionala 
Abbey Gardening & Tree Services,tree service,,Dublin,Ireland,,+353 87 483 7039,4.9,15,No,2026-03-02,info@abbeygardening.co.uk,https://www.facebook.com/abbeygardening,Abbey Gardening & Tree Services 
Ateliér Casa Gioia,tailor,Tailor,Prague,Czech Republic,"nám. Winstona Churchilla 1800/2, 130 00 Praha 3-Žižkov, Czechia",+420 731 986 613,5.0,14,No,2026-03-02,ateliercasagioia@gmail.com,https://www.facebook.com/ateliercasagioia,Ateliér Casa Gioia 
Autopoets bedrijf shining bert,car detailing,Car wash,Amsterdam,Netherlands,"Archangelkade 29 a, 1013 BE Amsterdam, Netherlands",+31 6 10101069,5.0,14,No,2026-03-02,info@i-clean-cars.be,https://www.facebook.com/autopoetsbedrijf,i-clean-cars 
Atelier Drouin,furniture repair,Antique furniture restoration service,Paris,France,"7 Rue d'Aumale, 75009 Paris, France",,5.0,14,No,2026-03-02,eugenie@atelierdrouin.fr,https://www.facebook.com/atelierdrouin,Atelier Drouin 
Moving Service Partnership 2000 Srl,moving company,Mover,Rome,Italy,"Via Campitiello Francesco, 3, 00123 Roma RM, Italy",+39 06 6190 1926,3.9,17,No,2026-03-02,unitedmovingservice@gmail.com,https://www.facebook.com/movingservice,United Moving Services 
Simple Carwash & Detailing,car detailing,Car wash,Budapest,Hungary,"Budapest, Napfény u. 40, 1095 Hungary",+36 70 609 5000,4.7,14,No,2026-03-02,appointments@simplewaterless.com,https://www.facebook.com/simplecarwash,Simple Car Wash 
Shiny Clean,gutter cleaning,House cleaning service,Bucharest,Romania,"Strada Alexandru Iacobescu 6, 060754 București, Romania",+40 750 842 338,5.0,13,No,2026-03-02,ventas@lavenircolombia.com,https://www.facebook.com/shinyclean,Shiny Clean 
Westview Paving,paving contractor,,Dublin,Ireland,,+353 87 194 8797,4.5,14,No,2026-03-02,roy@westviewpaving.com,https://www.facebook.com/westviewpaving,Westview Paving Inc 
Alpha Car Detailing,car detailing,Car detailing service,Zurich,Switzerland,"Industriestrasse 34, 8305 Dietlikon, Switzerland",+41 76 666 69 90,5.0,10,No,2026-03-02,contact@alphacar.net,https://www.facebook.com/alphacar,Location de voitures ile Maurice 
Intingoli - Brigata di cucina itinerante,catering,Caterer,Milan,Italy,"Via Losanna, 22, 20154 Milano MI, Italy",+39 335 524 1870,5.0,10,No,2026-03-02,info@intingoli.com,https://www.facebook.com/intingoli,Intingoli 
Luxury Cleaning - Società di Capitali,cleaning service,House cleaning service,Rome,Italy,"Via Antonio Panizzi, 89B, 00135 Roma RM, Italy",+39 333 232 0313,5.0,10,No,2026-03-02,luxurycleaningservices01@gmail.com,https://www.facebook.com/luxurycleaning,Luxury Cleaning Services 
Hodinový manžel Caesar,handyman,Handyman/Handywoman/Handyperson,Prague,Czech Republic,"Milotická 458, 155 21 Zličín, Czechia",+420 727 859 214,5.0,10,No,2026-03-02,mi_ma@seznam.cz,https://www.facebook.com/hodinovymanzel,Hodinový manžel 
LUX-KAN,plumber,Plumber,Warsaw,Poland,"Targowa 81, 03-408 Warszawa, Poland",+48 500 503 104,4.3,11,No,2026-03-02,lux.digital@unilever.com,https://www.facebook.com/lux,LUX Verified account
Entreprise Jonathan Paris,roofing contractor,Roofing contractor,Paris,France,"113 Rue du Faubourg Poissonnière, 75009 Paris, France",+33 6 88 89 36 85,5.0,9,No,2026-03-02,entreprise.jonathan@orange.fr,https://www.facebook.com/entreprisejonathan,Entreprise Jonathan 
Car Repair & Bodyshop Nasser,auto body shop,Auto body shop,Berlin,Germany,"50 Staalwinkler Damm, 13627 Berlin, Germany",+49 30 3444407,4.2,10,No,2026-03-02,carrepair@gmail.com,https://www.facebook.com/carrepair,Car Repair 
Pixel Studio Vienna,photography studio,Photography studio,Vienna,Austria,"Mariahilfer Str., 1140 Wien, Austria",+43 676 4025112,5.0,8,No,2026-03-02,pixelstudiovienna@gmail.com,https://www.facebook.com/pixelstudiovienna,Pixel Studio.at 
