name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date
Streetwash,car wash,Car wash,Brussels,Belgium,"Rue Le Lorrain 64, 1080 Molenbeek-Saint-Jean, Belgium",+32 498 21 17 51,4.7,81,No,2026-03-02
Lavadero de Coches Bubble Car Wash Serrano Lavado Detailing Parking Serranopark2,car wash,Car wash,Madrid,Spain,"Entrada de vehiculos, Calle de Serrano, 44, C. de Hermosilla, 7, sotano-1, 28001 Madrid, Spain",+34 624 69 97 44,4.8,318,No,2026-03-02
Lavadero de Coches Bubble Car Wash Serrano Lavado Detailing Parking Serranopark1,car wash,Car wash,Madrid,Spain,"Calle serrano 98, parking SerranoPark 1, sotano -1 Entradas por calles: Juan Bravo 1 o, C/ de los Hermanos Bécquer, 3, 28006 Madrid, Spain",+34 682 51 40 06,5.0,467,No,2026-03-02
Lavadero de Coches Bubble Car Wash Parking Quevedo Lavado Detailing,car wash,Car wash,Madrid,Spain,"Parking Indigo Quevedo, Calle de Rodríguez San Pedro, 8, Chamberí, 28015 Madrid, Spain",+34 650 33 84 77,4.6,339,No,2026-03-02
Car detailing barcelona,car wash,Car wash,Barcelona,Spain,"Carrer de Pallars, 268, Sant Martí, 08005 Barcelona, Spain",+34 632 41 76 69,4.6,168,No,2026-03-02
Auto Boom Car Wash,car wash,Car wash,Lisbon,Portugal,"R. Passos Manuel 100 D, 1150-260 Lisboa, Portugal",+351 920 482 919,5.0,3,No,2026-03-02
Why Stop Car Wash,car wash,Car wash,Lisbon,Portugal,"R. Marquês Sá da Bandeira, 1050-151 Lisboa, Portugal",+351 937 144 005,4.8,26,No,2026-03-02
Bg Lavagem Auto,car wash,Car wash,Lisbon,Portugal,"R. Francisco Sanches nr10 A /C, 1170-140 Lisboa, Portugal",+351 938 628 257,4.8,68,No,2026-03-02
Auto Wash,car wash,Car wash,Lisbon,Portugal,"Parque de Estacionamento, Rua Embaixador Teixeira de Sampaio, Empark Infante Santo nº 1 Piso -2, 1350-401 Lisboa, Portugal",+351 914 184 649,4.8,27,No,2026-03-02
Car Wash Restelo,car wash,Car wash,Lisbon,Portugal,"R. Padre António de Andrade 2, 1400-139 Lisboa, Portugal",+351 966 741 176,5.0,30,No,2026-03-02
Mimmo wash,car wash,Car wash,Rome,Italy,"Via Pio Molajoni, 39, 00159 Roma RM, Italy",,4.9,7,No,2026-03-02
Mg Car Wash Srl,car wash,Car wash,Milan,Italy,"Viale Monza, 166, 20127 Milano MI, Italy",+39 02 2700 6536,3.6,753,No,2026-03-02
Shine Car Wash Car Wash,car wash,Car wash,Milan,Italy,"Via Alessandro Litta Modignani, 90, 20161 Milano MI, Italy",+39 340 975 2682,4.4,455,No,2026-03-02
F1RST-WASH,car wash,Car wash,Berlin,Germany,"Mall of Berlin, Leipziger Pl. 12, 10117 Berlin, Germany",+49 178 7477771,4.9,100,No,2026-03-02
Carwash SB,car wash,,Munich,Germany,"81241 Munich, Germany",,4.1,183,No,2026-03-02
NA CAR TRADE&DETAILING,car wash,Car wash,Vienna,Austria,"Schönngasse 3, 1020 Wien, Austria",,4.8,21,No,2026-03-02
SB Autowaschanlage,car wash,Self service car wash,Zurich,Switzerland,"Ueberlandstrasse 239, 8051 Zürich, Switzerland",,3.6,280,No,2026-03-02
Auto Risma HB,car wash,Car wash,Stockholm,Sweden,"Götgatan 103, 116 62 Stockholm, Sweden",+46 8 615 10 00,4.8,127,No,2026-03-02
HA.Carwash,car wash,Car wash,Copenhagen,Denmark,"Spontinisvej 1, 2450 København, Denmark",+45 60 52 39 77,,,No,2026-03-02
Car Concierge A/S,car wash,Car wash,Copenhagen,Denmark,"Dronningens Tværgade 4, 1302 København, Denmark",+45 88 70 89 89,4.0,2,No,2026-03-02
VIP WASH- myjnia ręczna i auto detailing,car wash,Car wash,Warsaw,Poland,"Bartycka 175, 00-716 Warszawa, Poland",+48 505 530 504,4.8,90,No,2026-03-02
Hand wash Warsaw,car wash,Car wash,Warsaw,Poland,"Rondo ONZ 1, 00-384 Warszawa, Poland",+48 22 544 99 61,4.6,41,No,2026-03-02
Automyčka LUX,car wash,Car wash,Prague,Czech Republic,"Panská 12, 110 00 Nové Město, Czechia",+420 773 587 506,4.5,71,No,2026-03-02
MOL car wash,car wash,Car wash,Budapest,Hungary,"Budapest, Szerémi út 3, 1117 Hungary",,4.1,79,No,2026-03-02
Smart car wash,car wash,Car wash,Bucharest,Romania,"Strada Buzești 34, 011015 București, Romania",+40 721 700 709,4.3,754,No,2026-03-02
Spalatorie + Self-Service Downtown Car wash,car wash,Self service car wash,Bucharest,Romania,"Strada Călușei 35, 030167 București, Romania",+40 723 792 666,4.3,168,No,2026-03-02
Car wash / jeton / spălătorie auto,car wash,Self service car wash,Bucharest,Romania,"Strada Luica 184-196, 040994 București, Romania",,4.4,596,No,2026-03-02
Spălătorie Auto Hamudeco Car wash,car wash,Car wash,Bucharest,Romania,"Strada Căpitan Aviator Mircea Petre 17, 012244 București, Romania",+40 744 902 512,4.6,97,No,2026-03-02
Posh Wash Ireland,car wash,Car wash,Dublin,Ireland,"Windy Arbour, Dundrum Rd, Dundrum, Dublin, Ireland",+353 85 205 0409,4.5,68,No,2026-03-02
Fonthill Car Wash,car wash,Car wash,Dublin,Ireland,"Crona Business Park, Kavanagh's Yard, Fonthill Rd N, Neillstown, Dublin, D22 A376, Ireland",+353 85 186 1024,4.6,111,No,2026-03-02
Pullman Motors,motor repair shop,Mechanic,London,UK,"Railway Arch, 115 Randall Rd, London SE11 5JR, United Kingdom",+44 20 7735 5072,4.8,68,No,2026-03-02
Garage Auto Repar,motor repair shop,Auto machine shop,Brussels,Belgium,"Rue Marguerite Coppin 16, 1210 Bruxelles, Belgium",+32 486 31 42 19,4.8,175,No,2026-03-02
Pcj Motor,motor repair shop,Auto repair shop,Madrid,Spain,"C. de Juan de la Hoz, 20, Salamanca, 28028 Madrid, Spain",+34 917 26 73 31,4.8,118,No,2026-03-02
Mecânico do Bairro,motor repair shop,Auto machine shop,Lisbon,Portugal,"R. Damasceno Monteiro 106A, 1170-113 Lisboa, Portugal",+351 21 802 6896,4.9,123,No,2026-03-02
Officina Meccanica Casaldi Pierluigi,motor repair shop,Scooter repair shop,Rome,Italy,"Via Belisario, 27, 00187 Roma RM, Italy",+39 06 4201 0802,4.9,56,No,2026-03-02
Bosch Car Service - Officina Auto Sport Car Milano,motor repair shop,Auto repair shop,Milan,Italy,"Via Carlo D'Adda, 2, 20143 Milano MI, Italy",+39 02 8940 5637,4.9,604,No,2026-03-02
Motor Centrum Berlin,motor repair shop,Used auto parts store,Berlin,Germany,"Kurfürstendamm 195/3.OG, 10707 Berlin, Germany",+49 30 959993339,4.8,495,No,2026-03-02
Reparatur Zentrum München,motor repair shop,Auto repair shop,Munich,Germany,"Konrad-Celtis-Straße 14A, 81369 München, Germany",+49 89 57938216,4.9,40,No,2026-03-02
HNDRX Werkstatt,motor repair shop,Auto repair shop,Munich,Germany,"Claude-Lorrain-Straße 41, 81543 München, Germany",+49 179 1252276,5.0,85,No,2026-03-02
KFZ Technik 22,motor repair shop,Car repair and maintenance service,Vienna,Austria,"Eipeldauer Str. 43, 1220 Wien, Austria",+43 1 2561822,4.4,188,No,2026-03-02
Britishmotors Autodoktor,motor repair shop,Auto repair shop,Zurich,Switzerland,"Badenerstrasse 382A, 8004 Zürich, Switzerland",+41 43 557 62 63,5.0,22,No,2026-03-02
Garage König & Sattolo GmbH Reparaturen aller Marken in Zürich Wiedikon,motor repair shop,Auto repair shop,Zurich,Switzerland,"Grubenstrasse 32, 8045 Zürich, Switzerland",+41 44 492 26 26,4.7,27,No,2026-03-02
Banegård,motor repair shop,Auto repair shop,Copenhagen,Denmark,"Banegårdspladsen, 1570 København, Denmark",,,,No,2026-03-02
Ali Auto Service,motor repair shop,Auto repair shop,Warsaw,Poland,"Ryżowa 38, 02-495 Warszawa, Poland",+48 794 542 340,4.7,41,No,2026-03-02
Auto Artur,motor repair shop,Car repair and maintenance service,Prague,Czech Republic,"Jaromírova 51, 128 00 Praha 2-Vinohrady, Czechia",+420 773 997 777,4.5,83,No,2026-03-02
istanbul auto,motor repair shop,Auto repair shop,Budapest,Hungary,"Budapest, Kertész u. 24.28, 1073 Hungary",+36 30 299 8900,4.8,60,No,2026-03-02
Service Electrica Auto,motor repair shop,Car repair and maintenance service,Bucharest,Romania,"Bulevardul Ion Mihalache 207, 011174 București, Romania",+40 726 284 451,3.8,98,No,2026-03-02
R&R Motors,motor repair shop,Auto repair shop,Dublin,Ireland,"14A Robert St, Drumcondra, Dublin 3, D03 K6X4, Ireland",+353 86 408 0210,5.0,29,No,2026-03-02
"Central London Printing Services (Sameday, 3D Printing)",3d printing service,,London,UK,"Office 64, Unit 5, 399 Oxford St, London W1C 2BU, United Kingdom",+44 7905 594666,5.0,6,No,2026-03-02
Aslan 3d Printing Service London,3d printing service,,London,UK,"10 Pier Walk, London SE10 0ES, United Kingdom",+44 7900 001195,5.0,5,No,2026-03-02
Shape Print,3d printing service,,London,UK,"9 Denning Rd, London NW3 1ST, United Kingdom",,5.0,1,No,2026-03-02
Impression 3D by Fize,3d printing service,,Paris,France,"63 bis Rue Ramey, 75018 Paris, France",+33 6 44 95 01 00,5.0,3,No,2026-03-02
3D Print Canal House,3d printing service,Exhibit,Amsterdam,Netherlands,"by appointment only, Asterweg 149, 1031 HM Amsterdam, Netherlands",+31 20 229 1786,2.3,18,No,2026-03-02
OLD SCHOOL IMPRESION 3D,3d printing service,,Madrid,Spain,"28027, C. de Suecia, 102, local A, 28022 Madrid, Spain",+34 674 76 59 85,4.5,45,No,2026-03-02
Bcnprint3D - Impresión 3D en Barcelona,3d printing service,,Barcelona,Spain,"Carrer del Concili de Trento, 78, Sant Martí, 08018 Barcelona, Spain",+34 694 22 39 74,5.0,2,No,2026-03-02
3d Print Barcelona,3d printing service,,Barcelona,Spain,"Carrer de la Reina Cristina, 9, Ciutat Vella, 08003 Barcelona, Spain",,,,No,2026-03-02
3Dadd - Impressão 3D Lisboa,3d printing service,,Lisbon,Portugal,,,5.0,69,No,2026-03-02
Solido3d - 3d Print,3d printing service,,Rome,Italy,"Via del Mandrione, 103, 00181 Roma RM, Italy",+39 06 3265 1395,4.5,6,No,2026-03-02
Roma 3d,3d printing service,,Rome,Italy,"Via Spoleto, 3, 00182 Roma RM, Italy",+39 380 900 5792,5.0,12,No,2026-03-02
MASI 3D di Massimiliano Lequio,3d printing service,,Rome,Italy,"Via Galla Placidia, 74, 00159 Roma RM, Italy",+39 324 562 2688,5.0,15,No,2026-03-02
Laboratorio Stampe in 3D & Action Figure BuilderOG,3d printing service,,Rome,Italy,"Via Cincinnato, 7c, 00175 Roma RM, Italy",+39 328 225 8304,4.8,4,No,2026-03-02
3D print milano,3d printing service,Electronics store,Milan,Italy,"Via Alexander Fleming, 2, 20019 Settimo Milanese MI, Italy",+39 393 700 5167,2.7,3,No,2026-03-02
3DDS 3D Druckservice,3d printing service,,Berlin,Germany,"Lenther Steig 10, 13629 Berlin, Germany",+49 176 62814087,5.0,29,No,2026-03-02
xx,3d printing service,,Munich,Germany,"Frei-Otto-Straße 22, 80797 München, Germany",,5.0,2,No,2026-03-02
3D Printing Service,3d printing service,,Vienna,Austria,"Ewaldgasse, 1110 Wien, Austria",+43 650 3061525,,,No,2026-03-02
Three Elements SA,3d printing service,,Zurich,Switzerland,"Schaffhauserstrasse 645, 8052 Zürich, Switzerland",+41 44 272 46 23,5.0,1,No,2026-03-02
3d Delivery,3d printing service,,Stockholm,Sweden,"Jakob Westinsgatan, 112 20 Stockholm, Sweden",+46 70 734 19 49,,,No,2026-03-02
Wecreateitcph,3d printing service,,Copenhagen,Denmark,"Uplandsgade 72, 2300 København, Denmark",+45 23 98 22 00,,,No,2026-03-02
Northern Layers,3d printing service,Manufacturer,Copenhagen,Denmark,"Yderlandsvej 1, 2300 København, Denmark",+45 22 39 10 60,5.0,1,No,2026-03-02
DRUKPORTAL.PL | Druk 3D | Drukarnia 3D Warszawa,3d printing service,,Warsaw,Poland,"Ostrobramska 101, 04-041 Warszawa, Poland",+48 603 335 506,4.6,11,No,2026-03-02
3d tisk,3d printing service,,Prague,Czech Republic,"Nad Ondřejovem 521/42, 140 00 Praha 4, Czechia",+420 732 179 039,,,No,2026-03-02
Craftique,3d printing service,,Budapest,Hungary,"Budapest, Egressy út 73/c, 1148 Hungary",,4.7,16,No,2026-03-02
Pro3DHub,3d printing service,,Bucharest,Romania,"Strada Opanez 9, 023773 București, Romania",+40 746 298 968,5.0,1,No,2026-03-02
3D Tech,3d printing service,Media company,Dublin,Ireland,"Nutgrove Ave, Churchtown, Dublin, Ireland",+353 85 720 7129,5.0,2,No,2026-03-02
Empire Barbershop💈,barber shop,Barber shop,Brussels,Belgium,"Rue de l'Hôpital 1, 1000 Bruxelles, Belgium",+32 465 82 10 02,4.9,125,No,2026-03-02
Mim’s Barbershop,barber shop,Hairdresser,Brussels,Belgium,"Bd Maurice Lemonnier 3, 1000 Bruxelles, Belgium",+32 492 78 06 38,4.9,168,No,2026-03-02
MVP Barber Studio,barber shop,Barber shop,Madrid,Spain,"C. del Molino de Viento, 10, Centro, 28004 Madrid, Spain",+34 635 70 81 12,4.9,876,No,2026-03-02
Hair style,barber shop,Barber shop,Rome,Italy,"Via Palestro, 54, 00185 Roma RM, Italy",+39 349 865 3453,4.9,140,No,2026-03-02
Nabil's Barbershop,barber shop,Barber shop,Milan,Italy,"Via Vitruvio, 44, 20124 Milano MI, Italy",+39 320 448 5897,4.7,"1,324",No,2026-03-02
Çetin's GENTLEMEN'S BARBER,barber shop,Barber shop,Berlin,Germany,"Grunewaldstraße 88, 10823 Berlin, Germany",+49 30 47057007,4.9,610,No,2026-03-02
MJBarbershop87 / MJ The Great Dictator Barber,barber shop,Barber shop,Copenhagen,Denmark,"MJ.Barbershop87, Frederiksborgvej 87, 2400 København, Denmark",+45 91 44 10 00,4.9,565,No,2026-03-02
Top fade barbershop warsaw,barber shop,Barber shop,Warsaw,Poland,"Złota 62, 00-821 Warszawa, Poland",+48 570 920 490,4.8,285,No,2026-03-02
Deluxe Barbershop,barber shop,Barber shop,Warsaw,Poland,"al. Jana Pawła II 43A, 00-828 Warszawa, Poland",+48 780 510 256,4.8,298,No,2026-03-02
Fade O Clock,barber shop,Barber shop,Dublin,Ireland,"28 Capel St, North City, Dublin 1, D01 A0X6, Ireland",,4.6,136,No,2026-03-02
"Beauty Concept By Vinny - Hair, Nails, Makeup & Waxing salon in Lisbon",beauty salon,Beauty salon,Lisbon,Portugal,"R. Cristóvão Falcão 5A, 1900-082 Lisboa, Portugal",+351 920 040 369,4.9,140,No,2026-03-02
Imperial Salon,beauty salon,Hair salon,Copenhagen,Denmark,"Enghavevej 26, 1674 København, Denmark",+45 30 31 13 56,4.8,142,No,2026-03-02
Goddess Beauty Salon,beauty salon,Facial spa,Prague,Czech Republic,"Sokolovská 694/100a, 186 00 Karlín, Czechia",+420 608 658 788,4.6,416,No,2026-03-02
Afrouz Beauty,beauty salon,Nail salon,Budapest,Hungary,"Budapest, Révay u. 14, 1065 Hungary",+36 70 790 1612,4.7,272,No,2026-03-02
Lancaster Launderette & Dry Cleaners,laundry service,Laundry service,London,UK,"28 Craven Terrace, London W2 3EL, United Kingdom",+44 20 7706 3145,4.7,753,No,2026-03-02
True Colours Launderette,laundry service,Laundry service,London,UK,"13 Regency Pl, London SW1P 2EB, United Kingdom",,4.8,362,No,2026-03-02
Laundromat & Dry Cleaners,laundry service,Dry cleaner,London,UK,"85 Long Ln, London SE1 4PH, United Kingdom",,4.9,364,No,2026-03-02
King Square Launderette,laundry service,Laundromat,London,UK,"147 Central St, London EC1V 8AP, United Kingdom",+44 7908 915437,5.0,121,No,2026-03-02
Laverie Libre Service / Laundromat | Paris 16,laundry service,Laundromat,Paris,France,"21 Rue Pétrarque, 75116 Paris, France",+33 9 74 99 13 79,4.6,107,No,2026-03-02
Laverie Automatique,laundry service,Laundromat,Paris,France,"24 Pl. du Marché Saint-Honoré, 75001 Paris, France",+33 7 54 19 68 03,4.4,138,No,2026-03-02
Laundromat,laundry service,Laundromat,Paris,France,"55 Rue Lauriston, 75116 Paris, France",+33 6 07 06 64 14,4.5,23,No,2026-03-02
Laundry Haarlemmermeer,laundry service,Laundry service,Amsterdam,Netherlands,"Haarlemmermeerstraat 151, 1058 JX Amsterdam, Netherlands",+31 20 615 9072,4.7,113,No,2026-03-02
Quality Cleaners,laundry service,Laundry service,Amsterdam,Netherlands,"Bilderdijkstraat 190, 1053 LE Amsterdam, Netherlands",+31 20 789 3991,4.9,254,No,2026-03-02
Palthe Quick & Clean,laundry service,Laundry service,Amsterdam,Netherlands,"Jan van Galenstraat 63, 1056 BH Amsterdam, Netherlands",+31 20 770 3322,3.9,146,No,2026-03-02
Wash Club,laundry service,Laundromat,Brussels,Belgium,"Belgium, Kolenmarkt 68, 1000 Brussel, Belgium",+32 475 70 70 60,4.1,186,No,2026-03-02
Washington self laundry,laundry service,Laundromat,Brussels,Belgium,"Rue des Eperonniers 20, 1000 Bruxelles, Belgium",,4.1,110,No,2026-03-02
launderette Cervantes,laundry service,Laundromat,Madrid,Spain,"C. del León, 6, Centro, 28014 Madrid, Spain",+34 914 29 95 45,4.5,239,No,2026-03-02
Lavandería | Wash & Lock,laundry service,Laundry service,Madrid,Spain,"C. de San Marcos, 15, Centro, 28004 Madrid, Spain",+34 910 64 51 14,4.4,213,No,2026-03-02
Laundry services 30,laundry service,Laundromat,Madrid,Spain,"C. de la Batalla del Salado, 39, Arganzuela, 28045 Madrid, Spain",+34 629 20 98 15,4.5,96,No,2026-03-02
Lavanderia Roca,laundry service,Laundry,Barcelona,Spain,"Carrer d'en Roca, 3, local 2, Ciutat Vella, 08002 Barcelona, Spain",+34 933 02 24 87,4.7,118,No,2026-03-02
Bairro Alto Wash & Go,laundry service,Laundromat,Lisbon,Portugal,"R. Luz Soriano 18, 1200-247 Lisboa, Portugal",+351 917 338 269,4.5,309,No,2026-03-02
Lavandaria Self Service Sem Molas,laundry service,Laundry,Lisbon,Portugal,"R. de Santa Marta 38A, 1050-200 Lisboa, Portugal",+351 917 622 584,4.5,433,No,2026-03-02
Laundry & Luggage Pessoas,laundry service,Laundry service,Lisbon,Portugal,"Rua da Boavista 58 60, 1200-068 Lisboa, Portugal",+351 966 385 508,4.7,161,No,2026-03-02
Lavandaria da calçada,laundry service,Laundry service,Lisbon,Portugal,"CC de Sant'Ana 44, 1150-320 Lisboa, Portugal",+351 923 051 600,5.0,324,No,2026-03-02
Laundry Self Service,laundry service,Laundry service,Rome,Italy,"Via Conte Verde, 20, 00185 Roma RM, Italy",+39 06 8901 1314,4.7,640,No,2026-03-02
LAUNDROMAT - LAVANDERIA White Cloud Laundrette,laundry service,Laundry,Rome,Italy,"Vicolo del Governo Vecchio, 53, 00186 Roma RM, Italy",+39 347 306 8721,4.9,415,No,2026-03-02
Laundry Self Service Laundry,laundry service,Laundromat,Rome,Italy,"Via di Gesù e Maria, 26, 00187 Roma RM, Italy",+39 06 323 6474,4.7,270,No,2026-03-02
WASHIAG PLANET LAVANDERIA SELF-SERVICE,laundry service,Laundromat,Rome,Italy,"Via Magenta, 47, 00185 Roma RM, Italy",+39 388 498 0154,4.6,483,No,2026-03-02
Target Laundry Service,laundry service,Laundry,Rome,Italy,"Via Rasella, 49, 00187 Roma RM, Italy",+39 351 250 6125,4.0,178,No,2026-03-02
Laundry Onda srl,laundry service,Laundry,Rome,Italy,"Via Vespasiano, 50, 00192 Roma RM, Italy",+39 06 3972 4255,4.2,675,No,2026-03-02
Lavasecco Borgo Pio,laundry service,Laundry,Rome,Italy,"Borgo Pio, 188/189, 00193 Roma RM, Italy",+39 06 686 1134,4.7,90,No,2026-03-02
Laundry Mat,laundry service,Laundromat,Rome,Italy,"Via dei Falegnami, 7, 00186 Roma RM, Italy",+39 375 775 9980,4.8,33,No,2026-03-02
Smiley Laundry Lavanderia self-service Milano,laundry service,Laundromat,Milan,Italy,"Via Alessandro Tadino, 6, 20124 Milano MI, Italy",+39 347 812 7419,4.6,182,No,2026-03-02
Lavanderia Self-Service Milano Centrale - The Laundry Central Station,laundry service,Laundromat,Milan,Italy,"Via Benedetto Marcello, Via Errico Petrella, 93, 20124 Milano MI, Italy",+39 347 011 0489,4.1,200,No,2026-03-02
Lavanderia Laundry Self Service DEMA Stazione Centrale,laundry service,Laundromat,Milan,Italy,"Via Giulio e Corrado Venini, 14/A, 20124 Milano MI, Italy",+39 02 8209 0550,4.1,146,No,2026-03-02
Laundry Room Milano,laundry service,Laundromat,Milan,Italy,"Via Giovanni Bellezza, 1, 20136 Milano MI, Italy",+39 392 343 7722,4.3,92,No,2026-03-02
"Laundry Lounge - Lava, Asciuga, Automatico",laundry service,Laundromat,Milan,Italy,"Via Marco D'Oggiono, 5, 20123 Milano MI, Italy",+39 327 210 6394,4.2,119,No,2026-03-02
LAVO E CUCIO (LAUNDRY AND TAILORING SHOP),laundry service,Laundry service,Milan,Italy,"Corso di Porta Romana, 94, 20122 Milano MI, Italy",+39 388 830 7175,4.8,106,No,2026-03-02
Laundry 3 Elle,laundry service,Laundry,Milan,Italy,"Via Lazzaro Palazzi, 3, 20124 Milano MI, Italy",+39 335 209 186,4.7,335,No,2026-03-02
The Laundry Room,laundry service,Laundry service,Berlin,Germany,"Kollwitzstraße 46, 10405 Berlin, Germany",+49 30 41209145,4.4,103,No,2026-03-02
Waschcenter Quick & Clean,laundry service,Laundromat,Munich,Germany,"Chiemgaustraße 54, 81549 München, Germany",+49 160 95747644,4.2,139,No,2026-03-02
Laundromat Sommerwind,laundry service,Laundromat,Munich,Germany,"Kreillerstraße 18, 81673 München, Germany",+49 160 95747644,3.9,229,No,2026-03-02
Bügelstube Wäscherei - Reinigung - Änderungsschneiderei,laundry service,Laundry service,Munich,Germany,"Boschetsrieder Str. 51 A, 81379 München, Germany",+49 89 78597867,4.5,109,No,2026-03-02
Waschtreff,laundry service,Laundromat,Vienna,Austria,"Margaretenpl. 6/7, 1050 Wien, Austria",+43 664 8408400,2.9,83,No,2026-03-02
Express Laundry self-service,laundry service,Laundry service,Zurich,Switzerland,"Winterthurerstrasse 62, 8006 Zürich, Switzerland",+41 76 305 11 11,3.9,294,No,2026-03-02
Lea`s Waschhaus,laundry service,Laundromat,Zurich,Switzerland,"Sihlfeldstrasse 88, 8004 Zürich, Switzerland",+41 76 305 11 11,4.0,222,No,2026-03-02
Römerhoftex Clean,laundry service,Dry cleaner,Zurich,Switzerland,"Asylstrasse 58, 8032 Zürich, Switzerland",+41 78 711 73 59,4.9,19,No,2026-03-02
LAMORE SKRÄDDERI & TVÄTT,laundry service,Laundry service,Stockholm,Sweden,"Gjörwellsgatan 41, 112 60 Stockholm, Sweden",+46 8 604 27 57,4.2,11,No,2026-03-02
Møntvask - Laundromat,laundry service,Laundromat,Copenhagen,Denmark,"Øster Farimagsgade 14, 2100 København, Denmark",+45 39 63 57 70,4.9,49,No,2026-03-02
Møntvaskeriet,laundry service,Laundromat,Copenhagen,Denmark,"Elmegade 2, 2200 København, Denmark",+45 20 99 94 45,4.0,44,No,2026-03-02
City Rens & Vask,laundry service,Dry cleaner,Copenhagen,Denmark,"Borgergade 15F, 1300 København, Denmark",+45 33 11 51 88,4.1,34,No,2026-03-02
Pralnia The Laundry,laundry service,Laundry service,Warsaw,Poland,"Wałbrzyska 42, 02-739 Warszawa, Poland",+48 22 243 92 69,3.5,32,No,2026-03-02
Speed queen,laundry service,Laundry service,Warsaw,Poland,"Obrzeżna 1B, 02-691 Warszawa, Poland",+48 571 339 755,4.8,65,No,2026-03-02
Cleanwashdry,laundry service,Laundry service,Prague,Czech Republic,"Husitská 820/48, 130 00 Praha 3-Žižkov, Czechia",+420 720 150 716,3.7,139,No,2026-03-02
čistírna oděvů Praha 1 - prádelna Praha 1 - laundry laudromat Prague 1,laundry service,Laundry,Prague,Czech Republic,"Panská 896, 110 00 Nové Město, Czechia",+420 777 550 500,3.5,20,No,2026-03-02
Speed Queen Budapest - Dobmosoda.hu,laundry service,Laundry,Budapest,Hungary,"Budapest, Dob u. 68, 1073 Hungary",+36 20 454 6171,4.2,124,No,2026-03-02
TOO CLEAN - curatatorie spalatorie ecologica,laundry service,Laundry service,Bucharest,Romania,"Strada Nerva Traian nr 16, 031044 București, Romania",+40 723 494 234,4.8,144,No,2026-03-02
Temple Bar Laundry,laundry service,Laundry service,Dublin,Ireland,"13 Aston Quay, Temple Bar, Dublin 2, D02 PD65, Ireland",+353 87 421 8140,4.7,173,No,2026-03-02
