name,search_category,google_category,city,address,phone,email,rating,reviews,has_website,found_date
BAHRAIN ALUMINIUM EXTRUSION CO (BALEXCO) (DUBAI BRANCH),aluminium supplier,Aluminum supplier,Dubai,"Bur Dubai, Nr - Al Rolla Rd - Dubai - United Arab Emirates",+971 50 642 8367,balexco@emirates.net.ae,4.0,3,No,2026-03-01
Al Mijdaf Aluminium Factory LLC,aluminium supplier,Aluminum supplier,Umm Al Quwain,GH42+WPG - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 764 6876,info@almijdaf.com,4.8,4,No,2026-03-01
AL HAMAD ALUMINIUM EXTRUSION FACTORY LLC,aluminium supplier,Manufacturer,Umm Al Quwain,Unnamed Road - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 7177,alhamadx@emirates.net.ae,4.5,8,No,2026-03-01
AL TAQWA ALUMINIUM & GLASS CONT LLC,aluminium window,,Sharjah,Industrial Area 13 - Industrial Area - Sharjah - United Arab Emirates,+971 6 538 4114,taqwallc@emirates.net.ae,4.8,13,No,2026-03-01
Style Aluminium,aluminium window,Aluminum window,Ras Al Khaimah,QX98+XM8 - near OLD SHEEP MARKE - Al Qussaidat - Ras Al Khaimah - United Arab Emirates,+971 50 627 0862,danarak@emirates.net.ae,4.3,4,No,2026-03-01
Darkin Fujairah,amusement center,,Fujairah,Al Faseel - Fujairah - United Arab Emirates,+971 52 192 2226,mail@egov.fujairah.ae,4.5,29,No,2026-03-01
rfruae_rescue.foster.rehome,animal shelter,Permanently closed,Ajman,Al Rawda 1 - Ajman - United Arab Emirates,+971 50 702 1416,adopt@rfruae.com,1.0,1,No,2026-03-01
Al Mayya Group,animal shelter,Agricultural organization,Fujairah,586W+R8F - Unnamed Road - سكمكم - Fujairah - United Arab Emirates,+971 56 712 7040,Hwagyu@almayyagroup.ae,4.5,13,No,2026-03-01
Animal Care Centre,animal shelter,Dog day care center,Fujairah,289J+24M - Hay Al Ghail - Sharjah - United Arab Emirates,+971 50 646 7792,Accvet@emirates.net.ae,3.6,15,No,2026-03-01
Mataflax Media LLC FZC,animation studio,Animation studio,Ajman,1A-0024-031 Flamingo Villas - Ajman - United Arab Emirates,+971 6 546 7444,info@mataflax.com,5.0,1,No,2026-03-01
