name,search_category,google_category,city,address,phone,rating,reviews,has_website,found_date
Al Qimma Print L.L.C القمة للطباعة ذ.م.م,3d printing service,Commercial printer,Ajman,"University City Rd,Al Jurf 2,next to shiekh Khalifa Hospital - Ajman - United Arab Emirates",+971 50 717 1427,4.6,69,No,2026-03-01
Royal Diamond Printing Press LLC,3d printing service,Print shop,Ajman,38 شارع حاتم الطائي - Al Jerf 2 - Ajman - United Arab Emirates,+971 6 743 2545,4.2,162,No,2026-03-01
MVA 3d Accessories,3d printing service,,Ras Al Khaimah,villa 38a 19B St - Khuzam - Ras Al Khaimah - United Arab Emirates,+971 55 621 2797,5.0,1,No,2026-03-01
"iKix 3D Prints & Models Worldwide FZC - Architectural Model Making | Villa Models in UAE, Dubai",3d printing service,,Ras Al Khaimah,"Office F-8A, Business Centre 1, RAK Free Trade Zone, Al Nakheel, Ras Al Khaimah, UAE, 329067 - Ras Al Khaimah - United Arab Emirates",+971 55 625 7029,5.0,2,No,2026-03-01
Ras Al Khaimah National Printing Press,3d printing service,Print shop,Ras Al Khaimah,Khuzam Rd - Al Qussaidat - Ras Al Khaimah - United Arab Emirates,+971 7 228 1170,4.1,88,No,2026-03-01
Mr Copy For Digital Printing,3d printing service,Print shop,Fujairah,49W3+4G4 - Al Faseel - Fujairah - United Arab Emirates,+971 50 701 1850,2.0,4,No,2026-03-01
Popular Office Equipment Trading ( Copy centre ),3d printing service,,Fujairah,Mraisheed - Fujairah - United Arab Emirates,+971 9 224 1775,4.9,23,No,2026-03-01
Fujairah Print Pro,3d printing service,Digital printing service,Fujairah,Sallam Street - Al Ittihad - Fujairah - United Arab Emirates,+971 52 323 8789,4.7,3,No,2026-03-01
Fujairah National Printing Press,3d printing service,Digital printing service,Fujairah,48MM+W6R - شارع محمد بن مطر - Madab - Fujairah - United Arab Emirates,+971 9 222 3388,3.8,16,No,2026-03-01
Saad 3d Sign & Printing,3d printing service,,Umm Al Quwain,,+971 50 133 5639,5.0,5,No,2026-03-01
Emirates Modern Printing & Publishing Co,3d printing service,Print shop,Umm Al Quwain,GH53+GC6 - al maqta'a 2 - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 2300,4.9,14,No,2026-03-01
feel printings,3d printing service,,Umm Al Quwain,Block number 4 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 349 0212,1.0,1,No,2026-03-01
National Auto - Fiat & Abarth Showroom,abarth dealer,Car dealer,Dubai,City walk - Happiness St - Al Wasl - Dubai - United Arab Emirates,+971 800 3428,4.4,237,No,2026-03-01
ALFAHIM Group - مجموعة الفهيم,abarth dealer,Car dealer,Abu Dhabi,9G99+C43 - Mussafah M5 10th street / 17th Street intersecetion - Musaffah - M4 - Abu Dhabi - United Arab Emirates,+971 2 656 7000,4.1,385,No,2026-03-01
الصحراء الغربية - Mini Cooper fiat smart ميني كوبر فيات سمارت,abarth dealer,,Sharjah,Al Sajaa - Emirates Industrial City - Sharjah - United Arab Emirates,+971 54 440 3292,3.6,23,No,2026-03-01
Abbey Crescent 1,abbey,Apartment building,Dubai,26VX+M6M - Al Hebiah First - Up Town Motor City - Dubai - United Arab Emirates,,4.8,5,No,2026-03-01
All maha sewage and draining service,abbey,Abbey,Dubai,Hor Al Anz - Deira - Dubai - United Arab Emirates,+971 54 742 6661,5.0,1,No,2026-03-01
auga,abbey,Abbey,Dubai,13 St - Nadd Al Hamar - Dubai - United Arab Emirates,,5.0,1,No,2026-03-01
Lamsat amira,abbey,Abbey,Dubai,Escape Tower - Business Bay - Dubai - United Arab Emirates,+971 58 180 6289,,,No,2026-03-01
Mohammed Helal Uddin,abbey,Abbey,Dubai,27 12c St - Ayal Nasir - Deira - Dubai - United Arab Emirates,,4.8,4,No,2026-03-01
AL MUNER TEXTILE AND TRADING LLC,abbey,Abbey,Dubai,18 - 17 18th St - Ayal Nasir - Deira - Dubai - United Arab Emirates,+971 50 345 6271,4.5,4,No,2026-03-01
Abaya and more,abbey,Abbey,Dubai,12Streets Fraj - Al Murar - Dubai - United Arab Emirates,+971 52 373 4923,,,No,2026-03-01
GREEN PLAZA TRADING (L. L. C),abbey,Abbey,Dubai,"Al Manal Centre - Sabkha Bus Stand, Nr - Dubai - United Arab Emirates",+971 4 653 7572,5.0,1,No,2026-03-01
Qamr al ahlam fashion designing,abbey,Abbey,Dubai,Ayal Nasir - Dubai - United Arab Emirates,+971 58 173 8400,5.0,1,No,2026-03-01
deira-Al Murar-dubai,abbey,Abbey,Dubai,1 51 St - Al Murar - Dubai - United Arab Emirates,,4.4,5,No,2026-03-01
Coffee Planet Roastery FZE,abbey,Abbey,Dubai,"Nr Lufthansa Bldg, Mazaya Centre - Sheikh Zayed Rd - Al Wasl - Dubai - United Arab Emirates",+971 50 840 6690,5.0,1,No,2026-03-01
Al Rashad Aluminium & Metal Works Factory LLC,abbey,Abbey,Dubai,Opp Daily Restaurant - شارع دمشق - Al Garhoud - Dubai - United Arab Emirates,+971 4 267 0232,5.0,1,No,2026-03-01
Kirabira Abbey,abbey,,Dubai,Al Wasl - Dubai - United Arab Emirates,+971 55 235 6527,,,No,2026-03-01
Ni,abbey,Abbey,Dubai,Mohammed bin Rashid City - Meydan - Dubai - United Arab Emirates,,,,No,2026-03-01
Secret Alleyway me11,abbey,Abbey,Abu Dhabi,9 Al ʹAsheesh St - Mohamed Bin Zayed City - ME11 - Abu Dhabi - United Arab Emirates,,,,No,2026-03-01
Abdien,abbey,Abbey,Abu Dhabi,Al Manhal - W15 01 - Abu Dhabi - United Arab Emirates,+971 56 324 9288,,,No,2026-03-01
St.mary & Abou Sefein Coptic church - Sharjah,abbey,Church,Sharjah,20 Al Dhahak Bin Harethah St-26th St - Al Yarmook - Halwan - Sharjah - United Arab Emirates,,5.0,104,No,2026-03-01
Black bird abaya,abbey,Abbey,Sharjah,street - Al Shuwaiheen - Hay Al Gharb - Sharjah - United Arab Emirates,+971 52 788 1246,5.0,2,No,2026-03-01
Xxxxd,abbey,Abbey,Sharjah,أرض المستودعات - Maleha St - Industrial Area 13 - Industrial Area - Sharjah - United Arab Emirates,,,,No,2026-03-01
A,abbey,Abbey,Sharjah,"Industrial area 13 warehouse no 13 near ,old Pepsi company - Sharjah - United Arab Emirates",+971 58 107 6996,,,No,2026-03-01
AUS Winter Village,abbey,Abbey,Sharjah,American University - University City - Sharjah - United Arab Emirates,+971 50 656 9623,,,No,2026-03-01
مستشفى لطيفة,abbey,Monastery,Ajman,9GPV+6C3 - Al Muntazi 1 - Ajman - United Arab Emirates,,,,No,2026-03-01
Al zahabi sofa,abbey,,Ajman,Industrial Area 2 - Ajman - United Arab Emirates,+971 58 654 9379,,,No,2026-03-01
Fashion lady,abbey,,Ajman,Al Nakhil - Al Rumailah 1 - Ajman - United Arab Emirates,+971 52 724 3380,,,No,2026-03-01
Ras Al Khaimah Mangroves,abbey,Tourist attraction,Ras Al Khaimah,QWGR+C7F - Khoor Ras Al Khaimah - Ras Al Khaimah - United Arab Emirates,,4.7,9,No,2026-03-01
Blackrose Abaya Shop,abbey,Clothing store,Fujairah,49Q3+45W - Al Faseel Rd(E99) - Al Faseel - Fujairah - United Arab Emirates,+971 9 223 1771,4.3,7,No,2026-03-01
Al Bidya Mosque,abbey,Tourist attraction,Fujairah,C9Q3+JGW - Al Bidyah - Fujairah - United Arab Emirates,,4.7,"3,176",No,2026-03-01
The Mangrove Beach | شاطئ القرم,abbey,Tourist attraction,Umm Al Quwain,Khor Al Yeefrah - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 844 0727,4.0,"2,109",No,2026-03-01
"FREELANCE ACCOUNTANT , BOOKKEEPING SERVICE PART TIME ACCOUNTANT",accountant,Accountant,Abu Dhabi,Ocean Terrace - Al Reem Island - MARINA SQUARE - Abu Dhabi - United Arab Emirates,+971 50 848 1422,5.0,86,No,2026-03-01
AL ZAHED TAX CONSULTANCY,accountant,Accounting firm,Sharjah,Al Wahda St - Al Darari Commercial - Industrial Area - Sharjah - United Arab Emirates,+971 55 522 0177,4.7,46,No,2026-03-01
AL ZAHRA ACCOUNTING,accountant,Accounting firm,Sharjah,Al Zahra'a Street - Al Ghuwair - Hay Al Gharb - Sharjah - United Arab Emirates,+971 6 595 1650,4.9,10,No,2026-03-01
Safe Accounting Services,accountant,Accounting firm,Ajman,9FMM+2WG - Unnamed Road - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 54 389 5819,5.0,3,No,2026-03-01
Matrix Accounting &Tax Consulting,accountant,Tax consultant,Ras Al Khaimah,Al salhya building - Office 201 - Khuzam Rd - Al Juwais - Ras Al Khaimah - United Arab Emirates,+971 55 855 8592,5.0,28,No,2026-03-01
الحصن للمحاسبة و الإستشارات الضريبية - Al Hosn accounting and Tax Consultancy,accountant,,Ras Al Khaimah,Al Nakheel - Ras Al Khaimah - United Arab Emirates,+971 54 509 0021,5.0,19,No,2026-03-01
FM AUDITING AND BOOKKEEPING,accountant,Chartered accountant,Ras Al Khaimah,QXPW+35M - Seih Al Araibi - Ras Al Khaimah - United Arab Emirates,+971 7 223 5175,5.0,1,No,2026-03-01
Al Moatasem General Accounts,accountant,Financial audit,Fujairah,Fujairah trade center tower - 18 Hamad Bin Abdulla Road - Fujairah City Center - Fujairah - United Arab Emirates,+971 54 444 8016,5.0,5,No,2026-03-01
"AMGA Accounting, Taxation & Auditing, Dibba Fujairah",accountant,Tax consultant,Fujairah,Riffa - Dibba Al Fujairah - opp. China Market - Fujairah - United Arab Emirates,+971 50 683 3837,5.0,44,No,2026-03-01
"Accounting, Audit and attestation services",accountant,Chartered accountant,Umm Al Quwain,near senan hypermarket - Umm Dera - new industrial area - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 642 6743,5.0,1,No,2026-03-01
……,accounting firm,,Abu Dhabi,Al Hisn - W6 - Abu Dhabi - United Arab Emirates,+971 50 646 1523,4.9,10,No,2026-03-01
Dr. Aysha Al Khazraji Auditing Office LLC ( Dubai Auditors ),accounting firm,Certified public accountant,Sharjah,"Park - Sute No 105, Al Mansoor Tower, Near Al Nahda - Sharjah - United Arab Emirates",+971 4 298 3828,4.4,8,No,2026-03-01
Loyal Accounting Services,accounting firm,Accounting firm,Ajman,Al Amirah Building - Corniche Road - Al Nakhil - Al Rumailah 1 - Ajman - United Arab Emirates,+971 50 641 3341,5.0,3,No,2026-03-01
محاسبة وضريبة واسترداد ضريبة مسكن,accounting firm,Accounting firm,Ras Al Khaimah,92 Al Rayat St - Al Dhait - الظيت الجنوبي - Ras Al Khaimah - United Arab Emirates,+971 54 448 0128,5.0,1,No,2026-03-01
"AL MIZAN TAX CONSULTANT LLC - Auditing Service, TAX Agent, VAT service, VAT Auditing.",accounting firm,Tax consultant,Ras Al Khaimah,"دائرة التنمية الاقتصادية راس الخيمة - Department of Economic Development - Room 306 , Union Tower Near Department of Economic Development - Ras Al Khaimah - United Arab Emirates",+971 50 244 4628,5.0,5,No,2026-03-01
Mohamed Alhammadi Accounts Auditing - MAAA,accounting firm,Auditor,Fujairah,Rugaylat Rd Near Port Of Fujairah - Fujairah - United Arab Emirates,+971 50 828 2888,,,No,2026-03-01
Global Accounting Services,accounting firm,Accounting firm,Fujairah,48MJ+G58 - Madab - Fujairah - United Arab Emirates,+971 58 912 2510,,,No,2026-03-01
Experts In Tax And Accounting-Mohamed Keshk -الخبراء للاستشارات الضريبية والحسابات العامة-محمد كشك,accounting firm,Certified public accountant,Fujairah,حمد بن عبدالله -بنايه الفيوا سابقا مكتب رقم 205 - Fujairah - United Arab Emirates,+971 56 109 0672,,,No,2026-03-01
Global accounting and taxation,accounting firm,Accounting firm,Umm Al Quwain,Al Masa 2 - King Faisal Street - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 743 3366,,,No,2026-03-01
King China TCM Acupuncture Centre,acupuncture clinic,Acupuncture clinic,Dubai,Al Ameri Tower 401 - Barsha Heights - Dubai - United Arab Emirates,+971 55 652 6106,4.9,35,No,2026-03-01
Acupoint Complementary Medicine,acupuncture clinic,Alternative medicine practitioner,Abu Dhabi,Sofitel Hotel - Corniche Rd E - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 50 940 2905,4.9,70,No,2026-03-01
Specialized Chinese Naturopathy Centre,acupuncture clinic,Massage spa,Abu Dhabi,"Fatima Bint Mubarak Street (Najda and Electra Signal ) - Al Safa Supermarket Same Building. 2nd Floor, 205 - Abu Dhabi - United Arab Emirates",+971 50 763 9288,3.8,49,No,2026-03-01
New Central Poly Clinic,acupuncture clinic,Medical clinic,Sharjah,7CVR+4VV - Muwaileh Commercial - Industrial Area - Sharjah - United Arab Emirates,+971 6 535 3858,5.0,1,No,2026-03-01
Flow Medical Center and Physiotherapy - مركز فلو الطبي والعلاج الطبيعي,acupuncture clinic,Medical Center,Ajman,"Ittihad St Al Zorah, Villa 69 - Ajman - United Arab Emirates",+971 56 664 4454,4.6,90,No,2026-03-01
玉嫂中医按摩,acupuncture clinic,Acupuncture clinic,Ajman,Ajman grand Mall - Al Hamidiya 1 - Ajman - United Arab Emirates,+971 58 574 7888,,,No,2026-03-01
مركز فاطمة للطب البديل والعلاج الطبيعي,acupuncture clinic,Physical therapy clinic,Ras Al Khaimah,Al Montaser Street - Al Juwais - Ras Al Khaimah - United Arab Emirates,+971 50 110 3773,4.8,331,No,2026-03-01
Bloom Medical Center - مركز بلوم الطبى,acupuncture clinic,Medical clinic,Ras Al Khaimah,29 48F St - Sheikh Khalifa City - Ras Al Khaimah - United Arab Emirates,+971 55 996 6046,4.8,67,No,2026-03-01
FATHIMA AYURVEDA CENTER,acupuncture clinic,Alternative medicine practitioner,Fujairah,48FW+3FG - Merashid - Madhab Rd - Safad - Fujairah - United Arab Emirates,+971 50 825 0537,5.0,1,No,2026-03-01
Sansaya Clinic Umm Al Quwain,acupuncture clinic,Medical clinic,Umm Al Quwain,HH36+79H Imar Spa - Al Khor street - Al Khor - Al Khour 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 5880,4.5,2,No,2026-03-01
Umm Al-Quwain Medical Center,acupuncture clinic,Dental clinic,Umm Al Quwain,GGJR+F23 - Shk. Rashid Bin Saeed Al Maktoum St. - Al Bootain - الحمرة - ٢ - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 5119,3.7,18,No,2026-03-01
Tackmix Adhesive Manufacturing,adhesives and glue supplier,Manufacturer,Dubai,P-Box-1978 - UMM-Alquiwain - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 204 0602,5.0,21,No,2026-03-01
NAPCO Adhesives,adhesives and glue supplier,Manufacturer,Sharjah,NME - 1 4 - 17 - Industrial Area 6 - Industrial Area - Sharjah - United Arab Emirates,,3.0,2,No,2026-03-01
Al Fayez Paints and Adhesives Industries L.L.C.,adhesives and glue supplier,,Ajman,Ajman Industrial 2 - Ajman - United Arab Emirates,+971 55 445 2258,3.0,4,No,2026-03-01
Al Shamkha Building Materials,adhesives and glue supplier,,Ras Al Khaimah,Al Hudeeba - Ras Al Khaimah - United Arab Emirates,+971 7 243 1170,4.7,18,No,2026-03-01
