name,search_category,google_category,city,address,phone,email,rating,reviews,has_website,found_date
Abu soliman car wash Fujairah sakamkam,car wash,,Fujairah,Skamkam - Fujairah - United Arab Emirates,+971 55 320 9066,contact@coparking.ch,4.9,71,No,2026-03-01
Grace Cars Care,car wash,Car wash,Fujairah,Al Faseel Rd(E99) - Al Sharyah - Fujairah - United Arab Emirates,+971 55 115 2370,info@crazycarcare.ae,4.8,104,No,2026-03-01
Twaddan Car Wash | تودَّن لغسيل السيارات,car wash,Car wash,Umm Al Quwain,Mktaa St - Al Muqta - Al Muqta 3 - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 320 3243,support@twaddan.com,4.3,9,No,2026-03-01
Xtreme car care,car wash,Car wash,Umm Al Quwain,al jeddah ST - Umm Al Quwain - United Arab Emirates,+971 58 677 2258,Lutfi@xtreme-4x4.com,4.6,61,No,2026-03-01
Grand Car Wash,car wash,Car wash,Umm Al Quwain,HH42+M6M - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 314 7999,info@smartautouae.com,3.7,36,No,2026-03-01
ELECTRO CRAFT Electric motor rewinding and pump repairing centre,motor repair shop,Electric motor repair shop,Sharjah,behind PAN EMIRATES FURNITURE - Industrial Area 4 - Industrial Area - Sharjah - United Arab Emirates,+971 52 864 2322,Ecraft@emirates.net.ae,4.3,16,No,2026-03-01
Al Bayadh Garage,motor repair shop,Auto repair shop,Ajman,44 Amr Ibn El Aas St - opposite to Baithak Restaurant - Industrial area 2 - Ajman - United Arab Emirates,+971 55 119 9065,info@malen.com,4.5,465,No,2026-03-01
Extreme Motors Garage,motor repair shop,,Ras Al Khaimah,Al Juwais - Ras Al Khaimah - United Arab Emirates,,info@bpratv.com,4.6,45,No,2026-03-01
Al Hidayah car accessories,motor repair shop,Auto repair shop,Umm Al Quwain,12 - Emirate of Umm Al Quwain - United Arab Emirates,,enquiry@aedhs.com,5.0,11,No,2026-03-01
Zinq Garage,motor repair shop,Auto repair shop,Umm Al Quwain,Al Kharj Street - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 58 538 0013,info@zinqgarage.com,4.7,314,No,2026-03-01
Hi-Tec Motors,motor repair shop,Auto body shop,Umm Al Quwain,GH23+55Q - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 3063,sales@hitecperformance.ae,4.3,11,No,2026-03-01
"3dmanzil - 3d printing, 3d scanning and scale model making company in dubai",3d printing service,,Dubai,4653+JM - Office#302 - behind Carlton Hotel - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,,info@3dmanzil.com,4.1,27,No,2026-03-01
3D PRINTDXB,3d printing service,,Sharjah,,+971 50 909 9515,info@3dprintdxb.com,5.0,4,No,2026-03-01
MVA 3d Accessories,3d printing service,,Ras Al Khaimah,villa 38a 19B St - Khuzam - Ras Al Khaimah - United Arab Emirates,+971 55 621 2797,fo@stevinrock.com,5.0,1,No,2026-03-01
Popular Office Equipment Trading ( Copy centre ),3d printing service,,Fujairah,Mraisheed - Fujairah - United Arab Emirates,+971 9 224 1775,poetllc@eim.ae,4.9,23,No,2026-03-01
Fujairah Print Pro,3d printing service,Digital printing service,Fujairah,Sallam Street - Al Ittihad - Fujairah - United Arab Emirates,+971 52 323 8789,fujairahprinting@eim.ae,4.7,3,No,2026-03-01
Fujairah National Printing Press,3d printing service,Digital printing service,Fujairah,48MM+W6R - شارع محمد بن مطر - Madab - Fujairah - United Arab Emirates,+971 9 222 3388,Fujpress@emirates.net.ae,3.8,16,No,2026-03-01
Saad 3d Sign & Printing,3d printing service,,Umm Al Quwain,,+971 50 133 5639,mail@qodeinteractive.com,5.0,5,No,2026-03-01
feel printings,3d printing service,,Umm Al Quwain,Block number 4 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 349 0212,enquiry@aedhs.com,1.0,1,No,2026-03-01
National Auto - Fiat & Abarth Showroom,abarth dealer,Car dealer,Dubai,City walk - Happiness St - Al Wasl - Dubai - United Arab Emirates,+971 800 3428,Namarketing@alghandi.com,4.4,237,No,2026-03-01
ALFAHIM Group - مجموعة الفهيم,abarth dealer,Car dealer,Abu Dhabi,9G99+C43 - Mussafah M5 10th street / 17th Street intersecetion - Musaffah - M4 - Abu Dhabi - United Arab Emirates,+971 2 656 7000,Info@alfahim.ae,4.1,385,No,2026-03-01
Abbey Crescent 1,abbey,Apartment building,Dubai,26VX+M6M - Al Hebiah First - Up Town Motor City - Dubai - United Arab Emirates,,info@crescentschooldubai.comadm,4.8,5,No,2026-03-01
All maha sewage and draining service,abbey,Abbey,Dubai,Hor Al Anz - Deira - Dubai - United Arab Emirates,+971 54 742 6661,Sales@yp-uae.com,5.0,1,No,2026-03-01
auga,abbey,Abbey,Dubai,13 St - Nadd Al Hamar - Dubai - United Arab Emirates,,Personalas@auga.lt,5.0,1,No,2026-03-01
Lamsat amira,abbey,Abbey,Dubai,Escape Tower - Business Bay - Dubai - United Arab Emirates,+971 58 180 6289,lamassat@lamassat.com,,,No,2026-03-01
Mohammed Helal Uddin,abbey,Abbey,Dubai,27 12c St - Ayal Nasir - Deira - Dubai - United Arab Emirates,,huddin@emiratesunicom.com,4.8,4,No,2026-03-01
AL MUNER TEXTILE AND TRADING LLC,abbey,Abbey,Dubai,18 - 17 18th St - Ayal Nasir - Deira - Dubai - United Arab Emirates,+971 50 345 6271,almuneer@emirates.net.ae,4.5,4,No,2026-03-01
Abaya and more,abbey,Abbey,Dubai,12Streets Fraj - Al Murar - Dubai - United Arab Emirates,+971 52 373 4923,info@cryptolegal.uk,,,No,2026-03-01
Qamr al ahlam fashion designing,abbey,Abbey,Dubai,Ayal Nasir - Dubai - United Arab Emirates,+971 58 173 8400,info@qamaralahmar.com,5.0,1,No,2026-03-01
deira-Al Murar-dubai,abbey,Abbey,Dubai,1 51 St - Al Murar - Dubai - United Arab Emirates,,info@tht.ae,4.4,5,No,2026-03-01
Kirabira Abbey,abbey,,Dubai,Al Wasl - Dubai - United Arab Emirates,+971 55 235 6527,hgrs.fbreservation@habtoorhospitality.com,,,No,2026-03-01
Ni,abbey,Abbey,Dubai,Mohammed bin Rashid City - Meydan - Dubai - United Arab Emirates,,Info@nidesigngroup.com,,,No,2026-03-01
Secret Alleyway me11,abbey,Abbey,Abu Dhabi,9 Al ʹAsheesh St - Mohamed Bin Zayed City - ME11 - Abu Dhabi - United Arab Emirates,,moi@moi.gov.ae,,,No,2026-03-01
Abdien,abbey,Abbey,Abu Dhabi,Al Manhal - W15 01 - Abu Dhabi - United Arab Emirates,+971 56 324 9288,Customerservice@adib.ae,,,No,2026-03-01
Xxxxd,abbey,Abbey,Sharjah,أرض المستودعات - Maleha St - Industrial Area 13 - Industrial Area - Sharjah - United Arab Emirates,,sedd@sedd.gov.ae,,,No,2026-03-01
A,abbey,Abbey,Sharjah,"Industrial area 13 warehouse no 13 near ,old Pepsi company - Sharjah - United Arab Emirates",+971 58 107 6996,corporate-csu@mashreq.com,,,No,2026-03-01
AUS Winter Village,abbey,Abbey,Sharjah,American University - University City - Sharjah - United Arab Emirates,+971 50 656 9623,info@bestindustries.ae,,,No,2026-03-01
مستشفى لطيفة,abbey,Monastery,Ajman,9GPV+6C3 - Al Muntazi 1 - Ajman - United Arab Emirates,,Contactus@dubaihealth.ae,,,No,2026-03-01
Ras Al Khaimah Mangroves,abbey,Tourist attraction,Ras Al Khaimah,QWGR+C7F - Khoor Ras Al Khaimah - Ras Al Khaimah - United Arab Emirates,,info@mun.rak.ae,4.7,9,No,2026-03-01
Blackrose Abaya Shop,abbey,Clothing store,Fujairah,49Q3+45W - Al Faseel Rd(E99) - Al Faseel - Fujairah - United Arab Emirates,+971 9 223 1771,info@blackroseabayas.co.za,4.3,7,No,2026-03-01
AL ZAHRA ACCOUNTING,accountant,Accounting firm,Sharjah,Al Zahra'a Street - Al Ghuwair - Hay Al Gharb - Sharjah - United Arab Emirates,+971 6 595 1650,info@zahradocs.com,4.9,10,No,2026-03-01
Matrix Accounting &Tax Consulting,accountant,Tax consultant,Ras Al Khaimah,Al salhya building - Office 201 - Khuzam Rd - Al Juwais - Ras Al Khaimah - United Arab Emirates,+971 55 855 8592,info@matrix-acc.com,5.0,28,No,2026-03-01
"Accounting, Audit and attestation services",accountant,Chartered accountant,Umm Al Quwain,near senan hypermarket - Umm Dera - new industrial area - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 642 6743,support@kgrnaudit.com,5.0,1,No,2026-03-01
……,accounting firm,,Abu Dhabi,Al Hisn - W6 - Abu Dhabi - United Arab Emirates,+971 50 646 1523,press@mediaoffice.abudha,4.9,10,No,2026-03-01
Dr. Aysha Al Khazraji Auditing Office LLC ( Dubai Auditors ),accounting firm,Certified public accountant,Sharjah,"Park - Sute No 105, Al Mansoor Tower, Near Al Nahda - Sharjah - United Arab Emirates",+971 4 298 3828,contact@malaliauditing.com,4.4,8,No,2026-03-01
Loyal Accounting Services,accounting firm,Accounting firm,Ajman,Al Amirah Building - Corniche Road - Al Nakhil - Al Rumailah 1 - Ajman - United Arab Emirates,+971 50 641 3341,info@pinascargo.com,5.0,3,No,2026-03-01
"AL MIZAN TAX CONSULTANT LLC - Auditing Service, TAX Agent, VAT service, VAT Auditing.",accounting firm,Tax consultant,Ras Al Khaimah,"دائرة التنمية الاقتصادية راس الخيمة - Department of Economic Development - Room 306 , Union Tower Near Department of Economic Development - Ras Al Khaimah - United Arab Emirates",+971 50 244 4628,info@almizangroup.com,5.0,5,No,2026-03-01
New Central Poly Clinic,acupuncture clinic,Medical clinic,Sharjah,7CVR+4VV - Muwaileh Commercial - Industrial Area - Sharjah - United Arab Emirates,+971 6 535 3858,NO@EMAIL.ADDRES,5.0,1,No,2026-03-01
玉嫂中医按摩,acupuncture clinic,Acupuncture clinic,Ajman,Ajman grand Mall - Al Hamidiya 1 - Ajman - United Arab Emirates,+971 58 574 7888,info@bodyandsoulhealthclub.com,,,No,2026-03-01
Bloom Medical Center - مركز بلوم الطبى,acupuncture clinic,Medical clinic,Ras Al Khaimah,29 48F St - Sheikh Khalifa City - Ras Al Khaimah - United Arab Emirates,+971 55 996 6046,info@alweammedical.center,4.8,67,No,2026-03-01
Sansaya Clinic Umm Al Quwain,acupuncture clinic,Medical clinic,Umm Al Quwain,HH36+79H Imar Spa - Al Khor street - Al Khor - Al Khour 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 5880,info@sansayaclinic.com,4.5,2,No,2026-03-01
Umm Al-Quwain Medical Center,acupuncture clinic,Dental clinic,Umm Al Quwain,GGJR+F23 - Shk. Rashid Bin Saeed Al Maktoum St. - Al Bootain - الحمرة - ٢ - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 5119,info@ehs.gov.ae,3.7,18,No,2026-03-01
Tackmix Adhesive Manufacturing,adhesives and glue supplier,Manufacturer,Dubai,P-Box-1978 - UMM-Alquiwain - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 204 0602,sales@tackmix.ae,5.0,21,No,2026-03-01
NAPCO Adhesives,adhesives and glue supplier,Manufacturer,Sharjah,NME - 1 4 - 17 - Industrial Area 6 - Industrial Area - Sharjah - United Arab Emirates,,napco@eim.ae,3.0,2,No,2026-03-01
Universal adhesive mat. Dibba-fujairah,adhesives and glue supplier,,Fujairah,Industrial Area - Dibba Industrial - Fujairah - United Arab Emirates,+971 50 276 4225,info@fda.gov.ph,,,No,2026-03-01
Marketing Agency UAE,advertising agency,Advertising agency,Abu Dhabi,Al Zahiyah - E14 - Abu Dhabi - United Arab Emirates,+971 52 523 0119,corporate@eightysixmedia.ae,4.7,12,No,2026-03-01
Ashweb Solution,advertising agency,Internet marketing service,Fujairah,Creative Tower - Hamad Bin Abdulla Road - Fujairah City Center - Fujairah - United Arab Emirates,+971 55 599 8784,info@ashweb.co,5.0,10,No,2026-03-01
Al Tamayuz Advertising,advertising agency,Advertising agency,Umm Al Quwain,46 Aqba Bin Nafa Rd (Uqbah Bin Nafae Street) - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 550 0133,sales@altamyz.ae,4.6,13,No,2026-03-01
PERFECT IMAGE ADVERTISING,advertising agency,Advertising agency,Umm Al Quwain,FHW4+4H9 - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 568 7763,info@perfectsolutionsuae.com,5.0,1,No,2026-03-01
خطاط ماكس Sign Max,advertising agency,Advertising agency,Umm Al Quwain,Sheikh villa rd - Old industrial Area - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 807 2764,sales@injectmax.com,4.8,28,No,2026-03-01
PIXEL ADVERTISING,advertising agency,,Umm Al Quwain,AL HOBOB 2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 460 9543,info@pixeladvertisingllc.com,4.2,5,No,2026-03-01
ALPHABLACKY MEDIA PRODUCTIONS,aerial photographer,Photography service,Dubai,"Burjuman, Business tower - 601, Sunset building, Burjuman business tower Al Mankhool , Burjuman , Dubai Landmark - Dubai - United Arab Emirates",+971 55 447 1506,info@abcmediaproduction.com,4.6,50,No,2026-03-01
Moon Light Photography Studio Abu Dhabi,aerial photographer,Photography studio,Abu Dhabi,15 Al Wiʹalah Street - Sheikh Zayed Bin Sultan St - behind fab bank - Abu Dhabi - United Arab Emirates,+971 54 578 7325,recruitment@abba.ph,4.9,234,No,2026-03-01
Tek Studio,aerial photographer,Photography studio,Sharjah,Sheikh Saqr Bin Khalid Al Qasimi St - Al Manakh - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 6 567 3961,tec2000@emirates.net.ae,4.6,110,No,2026-03-01
Alnawar Studio,aerial photographer,Photography service,Ajman,9H8C+RJC - Al Yasmeen - Ajman - United Arab Emirates,+971 55 226 9854,ogba@gjrealestate.ae,4.8,61,No,2026-03-01
Nawras Studio,aerial photographer,Photography studio,Ras Al Khaimah,37 Sheikh Rashid Bin Saeed Al Maktoum Rd - Sheikh Saqr City - Ras Al Khaimah - United Arab Emirates,+971 7 235 2784,info@alnawrasorg.ae,4.1,119,No,2026-03-01
AL SAA'H STUDIO,aerial photographer,,Ras Al Khaimah,Old Town - Ras Al Khaimah - United Arab Emirates,+971 58 132 3448,info@spatial.aero,4.4,94,No,2026-03-01
Marwa studio Fujairah,aerial photographer,,Fujairah,Mohamed Bin Zayed City - Fujairah - United Arab Emirates,+971 50 369 8499,info@marwa.ae,4.5,10,No,2026-03-01
Shams Photography Fujairah,aerial photographer,Photography studio,Fujairah,48MH+7WV - Madab - Fujairah - United Arab Emirates,,info@shamsphotography.com,4.5,8,No,2026-03-01
Al Reem Studio,aerial photographer,Photography service,Fujairah,48FR+3MV - Kindi Rd - Safad - Fujairah - United Arab Emirates,+971 56 230 5218,info@reemdesign.ae,3.4,12,No,2026-03-01
Chop House Restaurant,african restaurant,African,Dubai,K2 - Cluster K - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,+971 52 725 4297,contact@chophouse.ae,4.6,316,No,2026-03-01
Afro Express Restaurant,african restaurant,West African,Dubai,London Hotel - 18th St - Al Sabkha Rd - Deira - Dubai - United Arab Emirates,+971 52 446 9388,info@explorerestaurant.com,4.6,65,No,2026-03-01
Africana Home Restaurant Gold Land,african restaurant,African,Dubai,Al Khor Street - 12 Al Daghaya St - behind Gold Land Building - Dubai - United Arab Emirates,+971 4 225 8899,Info@africanahome.ae,4.2,358,No,2026-03-01
West Side African Restaurant,african restaurant,West African,Abu Dhabi,Tanker Mai Off Delma By - Behind ADDC DMC Office. Al Niqa street - Airport Rd - Abu Dhabi - United Arab Emirates,+971 54 330 2566,info@pinascargo.com,4.5,129,No,2026-03-01
African Dishes Restaurant,african restaurant,African,Abu Dhabi,5 شارع اللِّثام - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 52 518 4570,info@africandishesrestaurant.com,4.3,205,No,2026-03-01
AFRIFOOD RESTAURANT,african restaurant,African,Abu Dhabi,5 Al Miqattarah St - Al Zahiyah - E16 02 - Abu Dhabi - United Arab Emirates,+971 54 478 8594,info@efi.ae,4.3,43,No,2026-03-01
Food Mountain Restaurant,african restaurant,West African,Abu Dhabi,F9QC+RQM - Al Danah - E11 - Abu Dhabi - United Arab Emirates,+971 2 309 1901,info@efi.ae,3.9,45,No,2026-03-01
O.G African kitchen,african restaurant,,Sharjah,Hay Al Nahda - Sharjah - United Arab Emirates,+971 52 921 4496,media@al-ghurair.com,5.0,1,No,2026-03-01
Bon Appetit,african restaurant,Restaurant,Fujairah,49X4+P6Q - Al Faseel - Fujairah - United Arab Emirates,+971 9 256 5852,Umair.bonappetit@almulla.ae,4.7,"1,003",No,2026-03-01
Family Emirates Home Nursing,aged care,Home health care service,Abu Dhabi,"Office 201, University of Abu Dhabi Building, Al Nahyan Camp, POBox 39206 - Abu Dhabi - United Arab Emirates",+971 2 441 9825,Contact@emirateshomenursing.ae,5.0,2,No,2026-03-01
Prestige Home Health Care Services,aged care,Home health care service,Abu Dhabi,Naser Al Junaibi Building - Unit 403 - المَصَايِد - Abu Dhabi - United Arab Emirates,+971 2 666 1517,info@prestigehomecare.ae,5.0,2,No,2026-03-01
Galaxy building,aged care,Assisted living facility,Ajman,83 King Faisal St - 2 Al Nuaimia - Ajman - United Arab Emirates,,info@gucae.com,5.0,3,No,2026-03-01
Iqrar Elder Care-Ajman,aged care,,Ajman,Al Rashidiya 2 - Ajman - United Arab Emirates,+971 50 538 9276,info@aqaar.com,,,No,2026-03-01
الجديد الثورة 2 العطشة,aged care,Retirement community,Ajman,9GX7+3PX - Al Rawda 2 - Ajman - United Arab Emirates,,80070@ajman.ae,5.0,1,No,2026-03-01
بيت علي بن الرييل,aged care,Assisted living facility,Ras Al Khaimah,M279+CJ - Seih Al Beer - Ras Al Khaimah - United Arab Emirates,,PSDCHC@psd.rak.ae,5.0,2,No,2026-03-01
Premium Tobacco,aged care,Assisted living facility,Ras Al Khaimah,MQRM+Q4H - Al Jazeera Al Hamra-Qaryat Al Hamra - Ras Al Khaimah - United Arab Emirates,+971 56 390 8226,compliance@premiumtobacco.biz,,,No,2026-03-01
Al Dar Building 46,aged care,Assisted living facility,Fujairah,585W+4GG - New - سكمكم - Fujairah - United Arab Emirates,,CONTACTUS@DEYAAR.AE,,,No,2026-03-01
مؤسسة الهلال الاحمر,aged care,Assisted living facility,Umm Al Quwain,GGPV+HFH - Shk. Rashid Bin Saeed Al Maktoum St. - Al Bootain - Al Butain - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 706 5700,Appsupport@rcuae.ae,5.0,1,No,2026-03-01
Yousef Saeed AlGhawi,aged care,Assisted living facility,Umm Al Quwain,12 Al Nokhatha St - Al Bootain - الحمرة - ٤ - Emirate of Umm Al Quwain - United Arab Emirates,,sales@mfindllc.com,,,No,2026-03-01
Seven Towers Construction Abudhabi,air conditioning contractor,Air conditioning repair service,Abu Dhabi,"Air Condition installation Repair and services, Abudhabi Al Mushrif (0555848686) - Abu Dhabi - United Arab Emirates",+971 55 584 8686,matrix@matrixuae.ae,4.3,6,No,2026-03-01
DAR AL IETEMAD A/C & REF. REPAIRING,air conditioning contractor,Air conditioning repair service,Sharjah,"Sharjah ,Industrial Area 13 ,Abdul Aziz Building Block A - Sharjah - United Arab Emirates",+971 52 240 1512,c_care@eim.ae,4.9,309,No,2026-03-01
Sajid Mahmoud Air Conditioner Repair Dubai,air conditioning contractor,Air conditioning contractor,Sharjah,53 Industrial Area 3 - Industrial Area - Sharjah - United Arab Emirates,+971 50 300 3203,Sm@theacservices.com,4.8,65,No,2026-03-01
"AL SAHEL Repair & Maintenance AC & Central Air Refining, Ltd",air conditioning contractor,Air conditioning repair service,Ajman,76 Thabit Bin Qais Street - 2 Al Nuaimia - Ajman - United Arab Emirates,+971 56 247 5707,alsahel2@emirates.net.ae,4.9,394,No,2026-03-01
Dr. Cool air conditioning and refrigeration,air conditioning contractor,,Ras Al Khaimah,Al Nakheel - Ras Al Khaimah - United Arab Emirates,+971 50 301 7446,cdo@eccp.com,5.0,7,No,2026-03-01
AL Baraq Electrotechnical Works,air conditioning contractor,Air conditioning repair service,Ras Al Khaimah,Al Mataf Rd - Julfar - Ras Al Khaimah - United Arab Emirates,+971 55 723 8355,electrorak@electrorak.com,5.0,18,No,2026-03-01
Fujico Heating And Cooling Solutions,air conditioning contractor,HVAC contractor,Fujairah,123/8 D St - Al ‘Uwaid - Fujairah - United Arab Emirates,+971 9 224 6555,info@fujicosolutions.com,4.8,30,No,2026-03-01
Majestic electromechanical,air conditioning contractor,Air conditioning contractor,Fujairah,Unnamed Road - Fujairah - United Arab Emirates,+971 55 850 6116,info@majesticelectical.com,4.9,16,No,2026-03-01
A ONE ELECTROMECHANICAL CONT,air conditioning contractor,Air conditioning contractor,Fujairah,586H+FQX - Skamkam - Fujairah - United Arab Emirates,+971 50 696 0453,infofnem@fng.ae,4.2,11,No,2026-03-01
AKHWAN ELECTRO MECHNICAL HVAC WORKS LLC,air conditioning contractor,HVAC contractor,Umm Al Quwain,GH36+84W - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 182 6766,sales@airprome.com,5.0,1,No,2026-03-01
AC Maintenance & Repairing Services in Dubai,air conditioning repair service,Air conditioning repair service,Dubai,"Churchill, Executive Towers - 3813 - Dubai - United Arab Emirates",+971 50 877 5343,sales@theprimecrew.com,5.0,33,No,2026-03-01
Ac maintenance MEP servies,air conditioning repair service,Air conditioning repair service,Fujairah,Al Corniche St - Al ‘Uwaid - Fujairah - United Arab Emirates,+971 50 698 2683,infofnem@fng.ae,4.3,35,No,2026-03-01
Arshad Mehmood technical services,air conditioning repair service,Air conditioning repair service,Umm Al Quwain,Near Shk. Rashid Bin Saeed Al Maktoum St. - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 259 1891,Enquiry@aedhs.com,5.0,1,No,2026-03-01
S3 SERVICES,air duct cleaning service,Air duct cleaning service,Dubai,"DIP 1, FAB Warehouse Compound - Dubai - United Arab Emirates",+971 56 863 2323,info@s3technicalservices.com,4.8,43,No,2026-03-01
HydroGulf LLC,air duct cleaning service,Air duct cleaning service,Abu Dhabi,Shop 10 - Musaffah Sector-37 - Abu Dhabi - United Arab Emirates,+971 2 626 5900,info@hydroflexuae.ae,4.7,38,No,2026-03-01
BRIXTON General Maintenance,air duct cleaning service,Air duct cleaning service,Abu Dhabi,The Gate Towers - 106 Rabat St - Al Reem Island - The Gate District - Abu Dhabi - United Arab Emirates,+971 50 536 9696,info@basmala.ae,4.9,100,No,2026-03-01
ClearPath Duct Cleaning,air duct cleaning service,Air duct cleaning service,Sharjah,Expo City Dubai - Mangrove Avenue - Madinat Al Mataar - Mangrove A - Dubai - United Arab Emirates,+971 54 556 5956,cdo@eccp.com,5.0,5,No,2026-03-01
Zenith Advanced Cleaning Solutions,air duct cleaning service,Air duct cleaning service,Ajman,AL JURF - Warehouse No.10 - Ajman - United Arab Emirates,+971 6 527 8893,Info@zenithacs.com,5.0,1,No,2026-03-01
Al fairooz central A/C الفيروز للمكيفات,air duct cleaning service,Air duct cleaning service,Ras Al Khaimah,QWPP+5PX - Dahan road near khalifa mosque - Ras Al-Khaimah - United Arab Emirates,+971 50 647 0557,info@alfairooz.ae,4.2,5,No,2026-03-01
Abu Sultan General Cleaning Services LLC,air duct cleaning service,Air duct cleaning service,Ras Al Khaimah,"Sheikh Mohammed Bin Salem Road, Near Clock Roundabout, Dahan - Ras Al Khaimah - United Arab Emirates",+971 50 371 0725,abusultn@emirates.net.ae,4.4,30,No,2026-03-01
Select My Flight,airline ticket agency,Travel agency,Sharjah,4 Rolla Mall - Khalid Bin Al Waleed St - Al Ghuwair - Hay Al Gharb - Sharjah - United Arab Emirates,+971 6 565 6569,info@selectmyflight.com,4.2,93,No,2026-03-01
"RT Travels And Cargo L.L.C, AJMAN",airline ticket agency,Airline ticket agency,Ajman,Sheikh Rashid Bin Humeed St - Al Rashidiya 3 - Ajman - United Arab Emirates,+971 54 265 9916,info@uae-shipping.net,4.9,62,No,2026-03-01
Al Raha Travels,airline ticket agency,,Ras Al Khaimah,Al Araibi - Ras Al-Khaimah - United Arab Emirates,+971 7 227 6225,Info@alrahatours.com,4.7,56,No,2026-03-01
Fujairah National Air Travel Agency,airline ticket agency,Travel agency,Fujairah,Road - Al Faseel - Fujairah - United Arab Emirates,+971 9 222 2316,Fnatafjr@emirates.net.ae,3.8,27,No,2026-03-01
Hala Tourism LLC,airline ticket agency,Travel agency,Fujairah,SALWA BUILDING Shop - 1 Street - Al Mahattah - Fujairah - United Arab Emirates,+971 9 277 4529,info@tourism.fujairah.ae,5.0,51,No,2026-03-01
ALSAFEENA TRAVELS & CARGO,airline ticket agency,Airline ticket agency,Umm Al Quwain,HH62+GQP - King Faisal St - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 538 7800,hari@alsafifalcongroup.com,4.4,7,No,2026-03-01
Marhaba Travels,airline ticket agency,Travel agency,Umm Al Quwain,Hawally rd - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 58 201 9786,marhaba@marhabaservices.com,4.6,19,No,2026-03-01
