name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date,email,facebook,fb_name
Charisma Mode,tailor,Clothing store,Dornbirn,Austria,"Moosmahdstraße 19b, 6850 Dornbirn, Austria ",+43 5572 206760 ,4.7,95,No,2026-03-04,info@charisma-mode.at,https://www.facebook.com/charismamode,Modeboutique CHARISMA 
Cutman Barber Shop,barber shop,Barber shop,Klagenfurt,Austria,"8.-Mai-Straße, 9020 Klagenfurt am Wörthersee, Austria ",+43 677 61606763 ,4.9,86,No,2026-03-04,hello@cutmanbarbershop.com,https://www.facebook.com/cutmanbarbershop,Cutman Barbershop 
ONYX Barbers,barber shop,Barber shop,Wels,Austria,"Dr.-Salzmann-Straße 10, 4600 Wels, Austria ",+43 660 9577731 ,5.0,80,No,2026-03-04,info@onyxbarbers.com,https://www.facebook.com/onyxbarbers,ONYX Barbers 
R.T.M. Auto,motor repair shop,Auto repair shop,Villach,Austria,"Heidenfeldstraße 5, 9500 Villach, Austria ",+43 676 5048333 ,4.7,80,No,2026-03-04,rtm.auto.villach@gmail.com,https://www.facebook.com/rtmauto,RTM Auto 
AK AUTOSERVİCE,motor repair shop,Car repair and maintenance service,Vienna,Austria,"u. Viaduktgasse 14, 1030 Wien, Austria ",+43 1 7124390 ,4.8,74,No,2026-03-04,ak_autoservice_kanis@yahoo.de,https://www.facebook.com/akautoservice,AK-Autoservice 
Stadtsonne - Sonnenstudio / Solarium,nail salon,Tanning salon,Innsbruck,Austria,"Hörtnaglpassage 1. Stock, Maria-Theresien-Straße 5, 6020 Innsbruck, Austria ",+43 512 562569 ,4.4,69,No,2026-03-04,stadtsonneinnsbruck@gmx.at,https://www.facebook.com/stadtsonne,Stadtsonne 
Luxus Styling Salon,beauty salon,Hair salon,Innsbruck,Austria,"Bürgerstraße 9, 6020 Innsbruck, Austria ",+43 660 1307778 ,4.9,61,No,2026-03-04,hazemyusef68@gmail.com,https://www.facebook.com/luxusstylingsalon,Luxus Styling Salon 
KFZ Zechner,motor repair shop,Auto repair shop,Klagenfurt,Austria,"Gundersdorf 17, 9020 Klagenfurt am Wörthersee, Austria ",+43 463 410704 ,4.9,60,No,2026-03-04,kfz.zechner@a1.net,https://www.facebook.com/kfzzechner,Kfz Technik Zechner 
R.B.Store,tailor,Tailor,Wels,Austria,"Bahnhofstraße 24, 4600 Wels, Austria ",,3.5,83,No,2026-03-04,robistore69@gmail.com,https://www.facebook.com/rbstore,Robi store 
Art Nail Klagenfurt | Nadia Buhna,nail salon,Nail salon,Klagenfurt,Austria,"Lastenstraße 34H, 9020 Klagenfurt am Wörthersee, Austria ",+43 690 10187029 ,5.0,53,No,2026-03-04,artnails1@hotmail.com,https://www.facebook.com/artnail,指藝社 
The Mens Barbershop,barber shop,Hair salon,Linz,Austria,"Humboldtstraße 48, 4020 Linz, Austria ",+43 664 99513613 ,4.8,45,No,2026-03-04,petoandjol@gmail.com,https://www.facebook.com/themensbarbershop,The Men’s Barbershop 
Rose Gravur,tailor,Engraver,Innsbruck,Austria,"Leopoldstraße 45, 6020 Innsbruck, Austria ",+43 676 6151238 ,4.9,44,No,2026-03-04,rosestitches.inn@gmail.com,https://www.facebook.com/rosegravur,RoseGravur 
Hundesalon Fell,pet grooming,Pet groomer,Dornbirn,Austria,"Kaiser-Franz-Josef-Straße 31, 6890 Lustenau, Austria ",+43 677 63252423 ,5.0,43,No,2026-03-04,hundesalon.fell@gmail.com,https://www.facebook.com/hundesalon.fell,Hundesalon FELL 
JP Autopflege,car wash,Car detailing service,Villach,Austria,"Treibacher Str. 4, 9523 Villach, Austria ",+43 676 9605500 ,4.9,42,No,2026-03-04,jp.puecker@gmail.com,https://www.facebook.com/jp.autopflege,JP Autopflege 
Nail Couture,nail salon,Nail salon,Linz,Austria,"Wiener Str. 490, 4030 Linz, Austria ",+43 650 2288155 ,4.9,34,No,2026-03-04,masterakrasotiru@gmail.com,https://www.facebook.com/nailcouture,Nail Couture 
Auto Thaler Kfz Instandsetzung und Lackierung,motor repair shop,Auto body shop,Innsbruck,Austria,"Kaplanstraße 1, 6063 Rum, Austria ",+43 512 261337 ,5.0,32,No,2026-03-04,info@auto-thaler.at,https://www.facebook.com/autothaler,Auto Thaler - KFZ Instandsetzung und Lackierung 
KFZ Hamedinger,motor repair shop,Auto repair shop,Wels,Austria,"Hinterschweigerstraße 10, 4600 Wels, Austria ",+43 7242 52788 ,4.5,33,No,2026-03-04,kfz.hamedinger@aon.at,https://www.facebook.com/kfzhamedinger,KFZ Hamedinger 
Autoreinigung Liebenau,car wash,Auto restoration service,Graz,Austria,"Petrifelderstraße 107, 8041 Graz, Austria ",+43 664 1061207 ,4.7,31,No,2026-03-04,autoreinigung-liebenau@hotmail.com,https://www.facebook.com/autoreinigungliebenau,Autoreinigung Liebenau 
Wash & Drive,car wash,Car wash,Klagenfurt,Austria,"Rosentaler Str. 131, 9020 Klagenfurt am Wörthersee, Austria ",+43 664 9154654 ,3.9,36,No,2026-03-04,lstrns@gmail.com,https://www.facebook.com/washdrive,Automobilų plovykla (Wash & Drive) 
Clean and Cut Pet Grooming Salon,pet grooming,Pet groomer,Vienna,Austria,"SVMM Building, Don Julio Village, Rd 5, Aganan, Iloilo City, 5001 Iloilo ",0969 573 4867 ,4.8,26,No,2026-03-04,eloj17@yahoo.com,https://www.facebook.com/cleanandcutpetgroomingsalon,Clean and Cut Pet Grooming Salon Blessing 
MP Beauty Nails,nail salon,Nail salon,Wels,Austria,"Sirfling 16, 4623 Gunskirchen, Austria ",+43 699 11536420 ,5.0,22,No,2026-03-04,p.gosia@hotmail.com,https://www.facebook.com/mpbeautynails,MP Beauty Nails 
Blumen Skofitsch,florist,Store,Villach,Austria,"Badstubenweg 93, 9500 Villach, Austria ",+43 4242 34871 ,4.1,26,No,2026-03-04,info@blumen-skofitsch.net,https://www.facebook.com/blumenskofitsch,Blumen Skofitsch 
Nizam Fashion,tailor,Boutique,Wels,Austria,"Pfarrgasse 36, 4600 Wels, Austria ",,4.9,16,No,2026-03-04,nizamfashion@gmail.com,https://www.facebook.com/nizamfashion,Nizam Fashion 
New Laundry King,laundry service,Laundry service,Wels,Austria,"Burgos, corner Magdalo St, La Paz, Iloilo City, 5000 Iloilo ",(033) 320 3130 ,5.0,15,No,2026-03-04,newlaundryking@gmail.com,https://www.facebook.com/newlaundryking,New Laundry King 
Fuß & Beauty Fee Schorn Sabrina,beauty salon,Beauty salon,Klagenfurt,Austria,"Fischlstraße 67, 9020 Klagenfurt am Wörthersee, Austria ",+43 660 9292003 ,4.7,12,No,2026-03-04,f.u.delicicous@gmail.com,https://www.facebook.com/fubeauty,Ale Gouveris 
Konditorei Gül Aslaner KG,bakery,Pastry shop,St. Pölten,Austria,"Kremser Landstraße 29, 3100 St. Pölten, Austria ",+43 676 4301152 ,4.3,12,No,2026-03-04,info@gul-konditorei.at,https://www.facebook.com/konditoreigul,Aslaner 
Auto Wash,car wash,Car wash,Graz,Austria,"Kärntner Str. 34, 8020 Graz, Austria ",,3.9,11,No,2026-03-04,andresp.autowash@gmail.com,https://www.facebook.com/autowash,Delivery AUTO WASH 
Rosmarie's Mode,tailor,Tailor,Innsbruck,Austria,"Roseggerstraße 1, 6020 Innsbruck, Austria ",+43 650 6857409 ,4.1,10,No,2026-03-04,rosmariesmode@gmail.com,https://www.facebook.com/rosmariesmode,rosmaries mode 
Revtec 3D,3d printing service,Engineering consultant,Klagenfurt,Austria,,,4.9,8,No,2026-03-04,office@revtec3d.com,https://www.facebook.com/revtec3d,Revtec 3D 
Schneider Atelier,tailor,Tailor,Klagenfurt,Austria,"Neuer Platz 9., Eingang Paradeisergasse 1/1.OG, 9020 Klagenfurt am Wörthersee, Austria ",+43 463 931818 ,5.0,7,No,2026-03-04,info@schneider-atelier.at,https://www.facebook.com/schneideratelier,Schneider Atelier 
Top Car Wash Klagenfurt,car wash,Car wash,Klagenfurt,Austria,"Rosentaler Str. 131, 9020 Klagenfurt am Wörthersee, Austria ",,1.7,16,No,2026-03-04,topcarbd@gmail.com,https://www.facebook.com/topcar,TopCar 
„Das Nagelstudio“ Andrea Weidl,nail salon,Nail salon,Villach,Austria,"Moritschstraße 5-7, 9500 Villach, Austria ",+43 676 6866173 ,4.3,6,No,2026-03-04,andrea.stoettner@gmx.at,https://www.facebook.com/dasnagelstudio,Nagelstudio Andrea Stöttner Luftenberg 
Nailsnbeautystudio,nail salon,Nail salon,Wels,Austria,"Südtirolerstraße 12b, 4600 Wels, Austria ",+43 660 9054457 ,5.0,4,No,2026-03-04,nailsnbeautystudio@gmail.com,https://www.facebook.com/nailsnbeautystudio,Nails & Beauty Studio 
JK Nailstudio and more,nail salon,Nail salon,Innsbruck,Austria,"Schusterbergweg 86/1 stock, 6020 Innsbruck, Austria ",+43 676 7499562 ,3.0,2,No,2026-03-04,jpetrovic892@gmail.com,https://www.facebook.com/jknailstudioandmore,JK Nails Innsbruck 
Wings Car Wash,car wash,Car wash,Graz,Austria,"Triesterstraße 459, 8055 Graz, Austria ",+43 316 395090 ,5.0,1,No,2026-03-04,wings.car.accessories@gmail.com,https://www.facebook.com/wingscar,Wings Car Accessories Shop 
Intimate Construction,tailor,Custom tailor,Klagenfurt,Austria,"Johann-Schaschl-Weg 15, 9020 Klagenfurt am Wörthersee, Austria ",+43 676 4610416 ,,,No,2026-03-04,jujoebstl@gmail.com,https://www.facebook.com/intimateconstruction,Julia Joebstl 
